"Large B/P","Large ROE","Large S/P","Large Return Rate in the last quarter","Large Market Value","Small systematic Risk","Annual Return","Excess Return","Systematic Risk","Total Risk","Abs. Win Rate","Rel. Win Rate"
0.333,0.333,0,0,0,0.333,35,21,0.78439633911899,229,14,4
0.333,0,0.333,0,0,0.333,264,66,0.91337224407955,34,2,4
0,0.333,0.333,0,0,0.333,67,43,1.04190829067855,31,6,5
0.333,0,0,0.333,0,0.333,26,27,0.780742222435431,217,6,4
0,0.333,0,0.333,0,0.333,128,22,1.13342242514908,58,10,5
0,0,0.333,0.333,0,0.333,56,50,1.03865808765484,43,6,4
0.333,0,0,0,0.333,0.333,282,32,0.725620036282203,199,10,3
0,0.333,0,0,0.333,0.333,104,48,1.15966514835343,234,10,10
0,0,0.333,0,0.333,0.333,21,64,1.02353222142843,14,6,3
0,0,0,0.333,0.333,0.333,122,58,1.33260004815273,94,6,4
0.25,0.25,0.25,0.25,0,0,48,30,0.900159240861221,237,10,3
0.25,0.25,0.25,0,0.25,0,41,34,0.874285704241262,216,10,4
0.25,0.25,0,0.25,0.25,0,100,13,0.952110264178381,211,14,4
0.25,0,0.25,0.25,0.25,0,19,48,0.82174432234448,198,6,2
0,0.25,0.25,0.25,0.25,0,106,44,1.14913488514914,2,6,5
0.25,0.25,0.25,0,0,0.25,33,37,0.88630861495049,28,6,4
0.25,0.25,0,0.25,0,0.25,85,71,0.801211447249687,225,10,6
0.25,0,0.25,0.25,0,0.25,20,53,0.885673561661748,25,2,2
0,0.25,0.25,0.25,0,0.25,76,36,1.03281216919258,30,10,4
0.25,0.25,0,0,0.25,0.25,53,16,0.836850998385763,226,18,5
0.25,0,0.25,0,0.25,0.25,17,61,0.919782099694458,10,10,4
0,0.25,0.25,0,0.25,0.25,68,42,1.01420285374127,233,10,6
0.25,0,0,0.25,0.25,0.25,43,20,0.804670862365341,195,10,1
0,0.25,0,0.25,0.25,0.25,152,11,1.16365777670092,44,10,5
0,0,0.25,0.25,0.25,0.25,39,53,0.96274753765473,228,10,4
0.2,0.2,0.2,0.2,0.2,0,52,31,0.902265557095482,218,14,3
0.2,0.2,0.2,0.2,0,0.2,58,25,0.895338519091244,3,6,3
0.2,0.2,0.2,0,0.2,0.2,27,49,0.91270622447465,9,14,5
0.2,0.2,0,0.2,0.2,0.2,82,18,0.930771321318357,216,14,5
0.2,0,0.2,0.2,0.2,0.2,25,39,0.853121554164011,234,3,3
0,0.2,0.2,0.2,0.2,0.2,97,38,1.09642607605322,4,10,3
0.167,0.167,0.167,0.167,0.167,0.167,50,33,0.910100800805274,227,14,4
1,0,0,0,0,0,156,210,1.58044040356646,126,10,26
0,1,0,0,0,0,61,182,1.20756114947585,72,3,26
0,0,1,0,0,0,224,227,1.31686207007236,115,10,27
0,0,0,1,0,0,7,117,1.43796367969383,122,2,14
0,0,0,0,1,0,226,115,1.10928734225536,20,6,25
0,0,0,0,0,1,274,179,1.47953852985436,117,3,22
0.5,0.5,0,0,0,0,225,224,0.902055261328428,13,19,27
0.5,0,0.5,0,0,0,210,223,1.36887979640848,118,10,25
0,0.5,0.5,0,0,0,219,221,1.04927138382189,56,19,27
0.5,0,0,0.5,0,0,141,197,1.10871549054225,76,18,24
0,0.5,0,0.5,0,0,32,180,1.05805568485851,49,6,26
0,0,0.5,0.5,0,0,182,212,1.18958930293802,93,14,27
0.5,0,0,0,0.5,0,110,191,1.21834036559764,78,14,27
0,0.5,0,0,0.5,0,273,170,0.916896278879272,202,6,28
0,0,0.5,0,0.5,0,130,193,1.02851719792512,41,18,28
0,0,0,0.5,0.5,0,2,90,1.1419565597091,67,3,24
0.5,0,0,0,0,0.5,147,199,1.36470891519764,112,10,25
0,0.5,0,0,0,0.5,141,196,1.10465895420441,69,10,26
0,0,0.5,0,0,0.5,164,208,1.28611536585045,113,10,24
0,0,0,0.5,0,0.5,265,177,1.27420997455208,108,3,10
0,0,0,0,0.5,0.5,249,156,1.31196999833117,84,6,22
0.333,0.333,0.333,0,0,0,234,226,1.06721770622364,71,20,27
0.333,0.333,0,0.333,0,0,206,211,0.862257181782766,234,20,28
0.333,0,0.333,0.333,0,0,195,214,1.14621140883728,87,18,24
0,0.333,0.333,0.333,0,0,167,202,1.02522694148741,51,19,26
0.333,0.333,0,0,0.333,0,127,190,0.865789536678537,218,19,27
0.333,0,0.333,0,0.333,0,177,210,1.22205461371747,91,14,28
0,0.333,0.333,0,0.333,0,121,189,0.889621833936658,221,19,28
0.333,0,0,0.333,0.333,0,70,183,1.02623592478609,16,10,26
0,0.333,0,0.333,0.333,0,250,142,0.95005973510497,226,6,26
0,0,0.333,0.333,0.333,0,90,186,1.03267545378547,29,14,28
0.333,0.333,0,0,0,0.333,217,218,0.894291581740562,27,19,26
0.333,0,0.333,0,0,0.333,183,214,1.31297562727847,114,10,24
0,0.333,0.333,0,0,0.333,221,225,1.09791237160339,82,18,26
0.333,0,0,0.333,0,0.333,79,186,1.04815140483215,66,14,22
0,0.333,0,0.333,0,0.333,91,187,0.961474065301305,40,10,25
0,0,0.333,0.333,0,0.333,150,200,1.20118270306259,98,14,24
0.333,0,0,0,0.333,0.333,131,198,1.37968626091211,106,14,26
0,0.333,0,0,0.333,0.333,46,181,0.990142126972353,234,3,27
0,0,0.333,0,0.333,0.333,160,205,1.1839961819191,88,14,25
0,0,0,0.333,0.333,0.333,10,114,1.3091877304767,105,2,10
0.25,0.25,0.25,0.25,0,0,212,219,1.02802871894279,59,20,27
0.25,0.25,0.25,0,0.25,0,200,212,1.0284686868621,45,19,28
0.25,0.25,0,0.25,0.25,0,87,185,0.887199273376654,214,18,27
0.25,0,0.25,0.25,0.25,0,165,203,1.08146677439444,57,14,27
0,0.25,0.25,0.25,0.25,0,84,184,0.915069481971682,224,14,27
0.25,0.25,0.25,0,0,0.25,218,222,1.08141567046545,84,18,27
0.25,0.25,0,0.25,0,0.25,175,204,0.885613987015488,18,14,27
0.25,0,0.25,0.25,0,0.25,184,213,1.17513406133545,99,14,22
0,0.25,0.25,0.25,0,0.25,178,207,1.08849983037164,79,18,26
0.25,0.25,0,0,0.25,0.25,186,206,0.908558879858028,239,19,27
0.25,0,0.25,0,0.25,0.25,191,215,1.30145407560761,103,14,26
0,0.25,0.25,0,0.25,0.25,168,201,1.01368370852621,36,19,26
0.25,0,0,0.25,0.25,0.25,93,188,1.06851009380207,63,14,24
0,0.25,0,0.25,0.25,0.25,23,178,1.01362853110589,19,3,25
0,0,0.25,0.25,0.25,0.25,124,195,1.13350154793691,80,10,25
0.2,0.2,0.2,0.2,0.2,0,181,206,0.975507153222619,19,19,27
0.2,0.2,0.2,0.2,0,0.2,209,217,1.01917258093504,73,18,27
0.2,0.2,0.2,0,0.2,0.2,214,220,1.08058288337879,70,18,27
0.2,0.2,0,0.2,0.2,0.2,129,192,0.908428925643007,235,19,27
0.2,0,0.2,0.2,0.2,0.2,180,209,1.14972987871062,85,18,25
0,0.2,0.2,0.2,0.2,0.2,140,194,0.99765594882205,24,14,28
0.167,0.167,0.167,0.167,0.167,0.167,208,216,0.998147585233246,49,19,27
1,0,0,0,0,0,16,122,1.90260785842194,132,6,5
0,1,0,0,0,0,136,91,1.26328666976097,87,3,22
0,0,1,0,0,0,270,176,1.89433911474852,130,3,10
0,0,0,1,0,0,1,72,1.42545367196926,120,3,4
0,0,0,0,1,0,134,87,1.09457872420659,30,10,24
0,0,0,0,0,1,4,47,0.859994814225728,206,1,3
0.5,0.5,0,0,0,0,254,136,1.39219244061401,110,3,22
0.5,0,0.5,0,0,0,253,167,1.93911838502618,131,6,10
0,0.5,0.5,0,0,0,268,151,1.35446157422151,97,3,24
0.5,0,0,0.5,0,0,261,149,1.52495734528824,124,3,5
0,0.5,0,0.5,0,0,245,115,1.24737550166848,92,10,22
0,0,0.5,0.5,0,0,281,175,1.59140867642691,127,6,14
0.5,0,0,0,0.5,0,139,95,1.4207594823452,113,3,10
0,0.5,0,0,0.5,0,243,106,1.09153718533456,42,10,25
0,0,0.5,0,0.5,0,236,108,1.41954640636682,107,3,10
0,0,0,0.5,0.5,0,231,101,1.20324449763971,88,10,18
0.5,0,0,0,0,0.5,3,15,0.977324783773235,31,10,6
0,0.5,0,0,0,0.5,8,71,0.864121719892631,201,6,10
0,0,0.5,0,0,0.5,11,81,1.06693844484371,38,3,18
0,0,0,0.5,0,0.5,6,1,1.00770375166475,16,3,10
0,0,0,0,0.5,0.5,9,72,0.800792483114351,181,3,6
0.333,0.333,0.333,0,0,0,267,159,1.5092227906224,121,3,22
0.333,0.333,0,0.333,0,0,256,134,1.34768636692003,100,6,10
0.333,0,0.333,0.333,0,0,260,154,1.67432002788575,129,3,5
0,0.333,0.333,0.333,0,0,271,153,1.33183787312862,95,3,22
0.333,0.333,0,0,0.333,0,241,107,1.25650542122296,81,6,24
0.333,0,0.333,0,0.333,0,258,151,1.61401802332804,128,3,18
0,0.333,0.333,0,0.333,0,246,113,1.21094655360059,68,3,22
0.333,0,0,0.333,0.333,0,246,118,1.3403148753313,96,6,14
0,0.333,0,0.333,0.333,0,237,106,1.1593358089321,75,10,18
0,0,0.333,0.333,0.333,0,269,152,1.37412028655447,104,6,22
0.333,0.333,0,0,0,0.333,12,80,0.911257538148251,232,10,6
0.333,0,0.333,0,0,0.333,5,73,1.22123936514828,89,6,10
0,0.333,0.333,0,0,0.333,242,104,1.002048959969,7,3,14
0.333,0,0,0.333,0,0.333,133,89,1.11725322700999,61,3,14
0,0.333,0,0.333,0,0.333,135,86,0.948520311824013,234,3,5
0,0,0.333,0.333,0,0.333,244,109,1.20404106746577,81,3,6
0.333,0,0,0,0.333,0.333,14,79,0.924853412215125,222,6,10
0,0.333,0,0,0.333,0.333,138,86,0.857932816811318,193,10,6
0,0,0.333,0,0.333,0.333,13,77,0.905352419512736,210,3,10
0,0,0,0.333,0.333,0.333,9,75,0.889153520370097,212,6,6
0.25,0.25,0.25,0.25,0,0,279,172,1.48103126725664,119,3,10
0.25,0.25,0.25,0,0.25,0,252,127,1.34710891328833,96,3,24
0.25,0.25,0,0.25,0.25,0,255,131,1.21707790692659,83,10,22
0.25,0,0.25,0.25,0.25,0,257,144,1.57902822205616,123,3,6
0,0.25,0.25,0.25,0.25,0,259,137,1.26945020534147,90,6,14
0.25,0.25,0.25,0,0,0.25,238,105,1.1360646330057,62,6,18
0.25,0.25,0,0.25,0,0.25,228,94,0.996955142809022,13,3,18
0.25,0,0.25,0.25,0,0.25,239,111,1.31225730127587,102,6,10
0,0.25,0.25,0.25,0,0.25,247,112,1.07187977771776,37,6,18
0.25,0.25,0,0,0.25,0.25,137,85,0.852324781014967,192,3,14
0.25,0,0.25,0,0.25,0.25,132,88,1.09406169261229,50,6,18
0,0.25,0.25,0,0.25,0.25,233,96,0.906347413776499,207,3,22
0.25,0,0,0.25,0.25,0.25,227,91,0.979382952422397,4,3,22
0,0.25,0,0.25,0.25,0.25,15,82,0.892118302906435,216,10,5
0,0,0.25,0.25,0.25,0.25,232,97,1.04857062183432,23,6,14
0.2,0.2,0.2,0.2,0.2,0,271,153,1.37197448621294,101,3,18
0.2,0.2,0.2,0.2,0,0.2,248,120,1.18178448944104,66,3,14
0.2,0.2,0.2,0,0.2,0.2,230,95,1.01077057592519,6,3,22
0.2,0.2,0,0.2,0.2,0.2,229,92,0.918444485368479,216,6,18
0.2,0,0.2,0.2,0.2,0.2,240,105,1.16287812738739,64,3,10
0,0.2,0.2,0.2,0.2,0.2,235,99,0.998392016973973,5,6,22
0.167,0.167,0.167,0.167,0.167,0.167,251,119,1.04848934634313,22,3,25
