"year","month","day","hour","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir"
2010,1,8,5,-18,-15,1029,1,1.34,0,0
2010,1,8,6,-18,-15,1029,3,1.79,0,0
2010,1,8,7,-16,-13,1029,2,0.89,0,0
2010,1,8,8,-16,-12,1029,4,0.89,0,0
2010,1,8,9,-16,-12,1030,4,1.78,0,0
2010,1,8,10,-17,-10,1030,2,0.89,0,0
2010,1,8,11,-16,-10,1029,1,0.89,0,0
2010,1,8,12,-16,-9,1028,4,3.13,0,0
2010,1,8,13,-15,-8,1026,4,4.92,0,0
2010,1,8,14,-16,-8,1026,1,0.89,0,0
2010,1,8,15,-16,-8,1025,1,1.78,0,0
2010,1,8,16,-16,-8,1025,1,2.67,0,0
2010,1,8,17,-17,-8,1025,4,0.89,0,0
2010,1,8,18,-17,-9,1026,1,0.45,0,0
2010,1,8,19,-17,-11,1026,1,1.34,0,0
2010,1,8,20,-17,-12,1026,1,1.79,0,0
2010,1,8,21,-18,-14,1027,3,1.79,0,0
2010,1,8,22,-16,-9,1027,3,4.92,0,0
2010,1,8,23,-16,-11,1027,3,6.71,0,0
2010,1,9,0,-17,-13,1027,1,0.89,0,0
2010,1,9,1,-17,-13,1027,3,3.13,0,0
2010,1,9,2,-17,-14,1027,3,4.92,0,0
2010,1,9,3,-17,-15,1027,3,8.05,0,0
2010,1,9,4,-17,-13,1027,3,9.84,0,0
2010,1,9,5,-19,-16,1027,3,13.86,0,0
2010,1,9,6,-18,-15,1027,3,17.88,0,0
2010,1,9,7,-19,-15,1027,3,21.9,0,0
2010,1,9,8,-18,-14,1028,3,25.92,0,0
2010,1,9,9,-18,-9,1029,2,5.81,0,0
2010,1,9,10,-17,-7,1029,2,11.62,0,0
2010,1,9,11,-17,-6,1030,2,17.43,0,0
2010,1,9,12,-16,-6,1029,2,23.24,0,0
2010,1,9,13,-16,-5,1029,2,28.16,0,0
2010,1,9,14,-15,-4,1029,2,33.08,0,0
2010,1,9,15,-14,-4,1028,2,37.1,0,0
2010,1,9,16,-15,-4,1029,2,38.89,0,0
2010,1,9,17,-15,-4,1030,3,1.79,0,0
2010,1,9,18,-15,-7,1030,2,3.13,0,0
2010,1,9,19,-15,-6,1031,3,3.13,0,0
2010,1,9,20,-15,-7,1032,3,4.92,0,0
2010,1,9,21,-15,-6,1032,2,3.13,0,0
2010,1,9,22,-15,-8,1033,1,0.45,0,0
2010,1,9,23,-15,-8,1033,1,0.9,0,0
2010,1,10,0,-15,-11,1033,3,0.89,0,0
2010,1,10,1,-17,-13,1033,3,1.78,0,0
2010,1,10,2,-17,-12,1033,3,4.91,0,0
2010,1,10,3,-17,-13,1033,3,8.04,0,0
2010,1,10,4,-19,-14,1032,3,9.83,0,0
2010,1,10,5,-18,-13,1032,3,12.96,0,0
2010,1,10,6,-19,-13,1032,3,16.09,0,0
2010,1,10,7,-19,-14,1033,3,19.22,0,0
2010,1,10,8,-19,-14,1034,3,22.35,0,0
2010,1,10,9,-17,-12,1033,3,24.14,0,0
2010,1,10,10,-16,-7,1033,2,4.02,0,0
2010,1,10,11,-15,-7,1033,3,3.13,0,0
2010,1,10,12,-15,-7,1032,3,6.26,0,0
2010,1,10,13,-14,-6,1031,3,9.39,0,0
2010,1,10,14,-14,-6,1031,3,12.52,0,0
2010,1,10,15,-13,-5,1030,3,14.31,0,0
2010,1,10,16,-14,-5,1031,3,16.1,0,0
2010,1,10,17,-14,-6,1031,3,19.23,0,0
2010,1,10,18,-13,-7,1032,3,23.25,0,0
2010,1,10,19,-15,-6,1032,3,27.27,0,0
2010,1,10,20,-15,-6,1033,3,30.4,0,0
2010,1,10,21,-15,-4,1034,3,35.32,0,0
2010,1,10,22,-16,-4,1034,3,44.26,0,0
2010,1,10,23,-17,-5,1035,3,52.31,0,0
2010,1,11,0,-17,-6,1035,3,60.36,0,0
2010,1,11,1,-17,-8,1035,1,0.89,0,0
2010,1,11,2,-19,-11,1036,3,4.02,0,0
2010,1,11,3,-20,-11,1036,3,8.94,0,0
2010,1,11,4,-21,-11,1035,2,4.02,0,0
2010,1,11,5,-22,-12,1035,3,3.13,0,0
2010,1,11,6,-22,-12,1035,2,4.92,0,0
2010,1,11,7,-22,-13,1036,3,5.81,0,0
2010,1,11,8,-22,-9,1036,3,13.86,0,0
2010,1,11,9,-22,-10,1036,3,21.91,0,0
2010,1,11,10,-22,-9,1036,3,29.06,0,0
2010,1,11,11,-21,-9,1036,3,33.08,0,0
2010,1,11,12,-20,-6,1035,3,42.02,0,0
2010,1,11,13,-19,-5,1034,3,50.96,0,0
2010,1,11,14,-19,-5,1033,3,59.01,0,0
2010,1,11,15,-20,-5,1033,3,66.16,0,0
2010,1,11,16,-20,-5,1032,3,71.97,0,0
2010,1,11,17,-20,-5,1033,3,76.89,0,0
2010,1,11,18,-20,-7,1033,3,81.81,0,0
2010,1,11,19,-22,-7,1033,3,85.83,0,0
2010,1,11,20,-22,-8,1033,3,89.85,0,0
2010,1,11,21,-23,-10,1033,3,91.64,0,0
2010,1,11,22,-23,-13,1033,3,93.43,0,0
2010,1,11,23,-22,-12,1032,1,0.89,0,0
2010,1,12,0,-22,-15,1031,1,1.78,0,0
2010,1,12,1,-22,-14,1031,2,1.79,0,0
2010,1,12,2,-22,-14,1031,3,0.89,0,0
2010,1,12,3,-24,-18,1030,2,1.79,0,0
2010,1,12,4,-24,-13,1030,2,3.58,0,0
2010,1,12,5,-25,-14,1030,3,3.13,0,0
2010,1,12,6,-24,-14,1030,3,7.15,0,0
2010,1,12,7,-25,-12,1030,3,12.96,0,0
2010,1,12,8,-26,-14,1030,3,16.98,0,0
2010,1,12,9,-25,-12,1031,3,21,0,0
2010,1,12,10,-25,-11,1031,3,26.81,0,0
2010,1,12,11,-24,-11,1030,3,35.75,0,0
2010,1,12,12,-23,-11,1029,3,47.82,0,0
2010,1,12,13,-22,-11,1029,3,63.02,0,0
2010,1,12,14,-23,-11,1029,3,75.98,0,0
2010,1,12,15,-22,-11,1029,3,88.05,0,0
2010,1,12,16,-23,-11,1030,3,101.01,0,0
2010,1,12,17,-24,-11,1030,3,109.06,0,0
2010,1,12,18,-24,-11,1032,3,118,0,0
2010,1,12,19,-23,-11,1032,3,126.05,0,0
2010,1,12,20,-23,-12,1032,3,134.1,0,0
2010,1,12,21,-24,-12,1033,3,142.15,0,0
2010,1,12,22,-23,-12,1033,3,150.2,0,0
2010,1,12,23,-23,-12,1034,3,160.03,0,0
2010,1,13,0,-24,-12,1034,3,169.86,0,0
2010,1,13,1,-24,-12,1033,3,178.8,0,0
2010,1,13,2,-25,-12,1033,3,189.98,0,0
2010,1,13,3,-24,-13,1033,3,198.03,0,0
2010,1,13,4,-25,-12,1032,3,205.18,0,0
2010,1,13,5,-25,-12,1033,3,215.01,0,0
2010,1,13,6,-25,-12,1032,3,226.19,0,0
2010,1,13,7,-25,-12,1032,3,235.13,0,0
2010,1,13,8,-25,-12,1032,3,243.18,0,0
2010,1,13,9,-23,-11,1033,3,252.12,0,0
2010,1,13,10,-23,-10,1033,3,257.93,0,0
2010,1,13,11,-22,-9,1033,3,263.74,0,0
2010,1,13,12,-21,-8,1031,3,270.89,0,0
2010,1,13,13,-21,-6,1030,3,278.94,0,0
2010,1,13,14,-20,-5,1029,3,286.99,0,0
2010,1,13,15,-22,-5,1028,3,294.14,0,0
2010,1,13,16,-21,-5,1028,3,299.06,0,0
2010,1,13,17,-19,-7,1028,4,1.79,0,0
2010,1,13,18,-19,-8,1028,1,0.45,0,0
2010,1,13,19,-20,-9,1028,1,1.34,0,0
2010,1,13,20,-19,-10,1027,4,1.79,0,0
2010,1,13,21,-19,-13,1027,1,0.89,0,0
2010,1,13,22,-18,-12,1027,1,1.78,0,0
2010,1,13,23,-18,-13,1027,2,0.89,0,0
2010,1,14,0,-18,-14,1026,2,1.78,0,0
2010,1,14,1,-20,-15,1025,2,2.67,0,0
2010,1,14,2,-20,-15,1025,3,0.89,0,0
2010,1,14,3,-20,-16,1025,3,1.78,0,0
2010,1,14,4,-20,-16,1024,3,3.57,0,0
2010,1,14,5,-21,-17,1024,3,6.7,0,0
2010,1,14,6,-19,-14,1023,3,10.72,0,0
2010,1,14,7,-21,-17,1023,3,13.85,0,0
2010,1,14,8,-19,-15,1024,3,15.64,0,0
2010,1,14,9,-19,-14,1024,3,18.77,0,0
2010,1,14,10,-18,-10,1024,3,22.79,0,0
2010,1,14,11,-17,-9,1023,3,24.58,0,0
2010,1,14,12,-16,-6,1023,3,26.37,0,0
2010,1,14,13,-17,-5,1022,3,28.16,0,0
2010,1,14,14,-16,-5,1022,3,29.95,0,0
2010,1,14,15,-15,-4,1022,3,33.08,0,0
2010,1,14,16,-16,-4,1023,1,0.89,0,0
2010,1,14,17,-15,-5,1025,4,1.79,0,0
2010,1,14,18,-14,-3,1026,3,5.81,0,0
2010,1,14,19,-16,-3,1027,3,11.62,0,0
2010,1,14,20,-15,-4,1029,3,20.56,0,0
2010,1,14,21,-16,-5,1031,3,24.58,0,0
2010,1,14,22,-17,-6,1032,2,3.13,0,0
2010,1,14,23,-18,-6,1033,2,8.05,0,0
2010,1,15,0,-19,-7,1034,2,13.86,0,0
2010,1,15,1,-17,-8,1035,3,5.81,0,0
2010,1,15,2,-18,-10,1035,3,11.62,0,0
2010,1,15,3,-19,-10,1036,3,14.75,0,0
2010,1,15,4,-19,-9,1036,3,19.67,0,0
2010,1,15,5,-19,-9,1036,2,7.15,0,0
2010,1,15,6,-20,-9,1037,2,12.96,0,0
2010,1,15,7,-19,-9,1037,2,18.77,0,0
2010,1,15,8,-19,-8,1038,2,22.79,0,0
2010,1,15,9,-19,-8,1039,2,28.6,0,0
2010,1,15,10,-19,-7,1039,2,35.75,0,0
2010,1,15,11,-18,-6,1039,2,41.56,0,0
2010,1,15,12,-18,-5,1039,2,45.58,0,0
2010,1,15,13,-17,-4,1038,3,1.79,0,0
2010,1,15,14,-16,-3,1037,1,0.89,0,0
2010,1,15,15,-17,-3,1037,1,1.78,0,0
2010,1,15,16,-17,-2,1037,1,2.23,0,0
2010,1,15,17,-15,-5,1036,4,0.89,0,0
2010,1,15,18,-15,-6,1036,1,0.89,0,0
2010,1,15,19,-15,-6,1037,1,1.78,0,0
2010,1,15,20,-14,-6,1037,4,1.79,0,0
2010,1,15,21,-14,-8,1036,4,3.58,0,0
2010,1,15,22,-14,-10,1037,1,0.89,0,0
2010,1,15,23,-15,-11,1036,1,1.78,0,0
2010,1,16,0,-15,-11,1036,1,2.67,0,0
2010,1,16,1,-16,-13,1036,2,0.89,0,0
2010,1,16,2,-16,-12,1036,1,0.89,0,0
2010,1,16,3,-16,-13,1035,2,0.89,0,0
2010,1,16,4,-15,-12,1035,2,1.78,0,0
2010,1,16,5,-14,-10,1034,3,1.79,0,0
2010,1,16,6,-15,-10,1034,3,2.68,0,0
2010,1,16,7,-15,-11,1034,3,4.47,0,0
2010,1,16,8,-15,-11,1034,3,6.26,0,0
2010,1,16,9,-14,-9,1034,3,8.05,0,0
2010,1,16,10,-14,-9,1034,3,9.84,0,0
2010,1,16,11,-13,-6,1034,1,0.89,0,0
2010,1,16,12,-13,-5,1033,3,1.79,0,0
2010,1,16,13,-12,-4,1031,1,0.89,0,0
2010,1,16,14,-12,-3,1031,1,1.78,0,0
2010,1,16,15,-12,-3,1030,1,2.67,0,0
2010,1,16,16,-11,-3,1030,1,3.56,0,0
2010,1,16,17,-11,-4,1031,2,0.89,0,0
2010,1,16,18,-12,-7,1031,1,0.89,0,0
2010,1,16,19,-12,-7,1032,1,1.78,0,0
2010,1,16,20,-12,-8,1032,1,2.23,0,0
2010,1,16,21,-12,-9,1032,1,3.12,0,0
2010,1,16,22,-13,-11,1032,3,0.89,0,0
2010,1,16,23,-14,-11,1032,3,2.68,0,0
2010,1,17,0,-15,-12,1032,3,5.81,0,0
2010,1,17,1,-14,-11,1032,1,0.45,0,0
2010,1,17,2,-14,-11,1031,1,1.34,0,0
2010,1,17,3,-14,-12,1031,3,1.79,0,0
2010,1,17,4,-14,-12,1031,3,3.58,0,0
2010,1,17,5,-14,-10,1030,3,6.71,0,0
2010,1,17,6,-14,-11,1030,3,9.84,0,0
2010,1,17,7,-15,-10,1030,3,11.63,0,0
2010,1,17,8,-13,-10,1030,3,14.76,0,0
2010,1,17,9,-13,-8,1030,3,17.89,0,0
2010,1,17,10,-12,-6,1030,1,0.45,0,0
2010,1,17,11,-11,-5,1030,1,1.34,0,0
2010,1,17,12,-11,-4,1029,1,2.23,0,0
2010,1,17,13,-11,-3,1028,1,3.12,0,0
2010,1,17,14,-10,-1,1027,1,4.01,0,0
2010,1,17,15,-11,-1,1027,1,4.46,0,0
2010,1,17,16,-10,-1,1026,4,0.89,0,0
2010,1,17,17,-10,-3,1026,4,1.78,0,0
2010,1,17,18,-10,-5,1027,4,2.67,0,0
2010,1,17,19,-10,-6,1027,2,0.89,0,0
2010,1,17,20,-11,-7,1027,1,0.45,0,0
2010,1,17,21,-10,-7,1027,1,0.9,0,0
2010,1,17,22,-11,-9,1027,1,1.35,0,0
2010,1,17,23,-12,-9,1027,2,0.89,0,0
2010,1,18,0,-12,-10,1028,1,0.89,0,0
2010,1,18,1,-13,-11,1028,3,3.13,0,0
2010,1,18,2,-11,-9,1028,3,4.92,0,0
2010,1,18,3,-13,-10,1028,3,6.71,0,0
2010,1,18,4,-13,-11,1028,3,7.6,0,0
2010,1,18,5,-13,-11,1027,2,1.79,0,0
2010,1,18,6,-14,-11,1028,3,0.89,0,0
2010,1,18,7,-14,-11,1028,3,4.02,0,0
2010,1,18,8,-14,-11,1028,3,5.81,0,0
2010,1,18,9,-11,-6,1028,3,9.83,0,0
2010,1,18,10,-10,-5,1028,3,11.62,0,0
2010,1,18,11,-9,-3,1028,3,13.41,0,0
2010,1,18,12,-8,-1,1027,3,15.2,0,0
2010,1,18,13,-9,0,1026,3,16.99,0,0
2010,1,18,14,-9,1,1025,2,1.79,0,0
2010,1,18,15,-9,1,1025,1,0.89,0,0
2010,1,18,16,-8,1,1025,4,0.89,0,0
2010,1,18,17,-7,-1,1025,4,2.68,0,0
2010,1,18,18,-7,-2,1025,1,0.89,0,0
2010,1,18,19,-7,-3,1025,4,0.89,0,0
2010,1,18,20,-5,-2,1026,1,0.89,0,0
2010,1,18,21,-5,-1,1026,3,1.79,0,0
2010,1,18,22,-5,-1,1026,3,3.58,0,0
2010,1,18,23,-6,-1,1026,1,0.89,0,0
2010,1,19,0,-4,-1,1025,3,1.79,0,0
2010,1,19,1,-5,-1,1024,3,4.92,0,0
2010,1,19,2,-5,-1,1024,3,6.71,0,0
2010,1,19,3,-5,-1,1023,3,8.5,0,0
2010,1,19,4,-4,-1,1022,3,10.29,0,0
2010,1,19,5,-4,-1,1021,3,11.18,0,0
2010,1,19,6,-4,-1,1021,3,12.07,0,0
2010,1,19,7,-4,-1,1021,3,13.86,0,0
2010,1,19,8,-4,0,1021,1,0.89,0,0
2010,1,19,9,-4,0,1021,3,1.79,0,0
2010,1,19,10,-4,0,1021,1,0.89,0,0
2010,1,19,11,-5,1,1021,3,1.79,0,0
2010,1,19,12,-5,1,1020,1,0.89,0,0
2010,1,19,13,-4,1,1019,1,1.34,0,0
2010,1,19,14,-4,1,1018,2,0.89,0,0
2010,1,19,15,-3,2,1018,1,0.45,0,0
2010,1,19,16,-3,2,1018,1,1.34,0,0
2010,1,19,17,-2,2,1018,2,0.89,0,0
2010,1,19,18,-3,1,1018,1,0.89,0,0
2010,1,19,19,-3,2,1020,3,1.79,0,0
2010,1,19,20,-3,1,1020,3,4.92,0,0
2010,1,19,21,-3,0,1021,3,6.71,0,0
2010,1,19,22,-3,0,1021,3,8.5,0,0
2010,1,19,23,-3,1,1020,3,11.63,0,0
2010,1,20,0,-2,0,1021,3,14.76,0,0
2010,1,20,1,-2,-1,1022,3,16.55,0,0
2010,1,20,2,-4,-2,1022,3,19.68,0,0
2010,1,20,3,-2,-1,1023,3,25.49,0,0
2010,1,20,4,-3,1,1023,3,28.62,0,0
2010,1,20,5,-3,0,1024,3,31.75,0,0
2010,1,20,6,-5,2,1026,3,36.67,0,0
2010,1,20,7,-9,1,1027,3,41.59,0,0
2010,1,20,8,-10,0,1028,3,48.74,0,0
2010,1,20,9,-10,0,1030,3,55.89,0,0
2010,1,20,10,-11,1,1032,3,63.04,0,0
2010,1,20,11,-13,0,1033,3,71.09,0,0
2010,1,20,12,-13,0,1033,3,78.24,0,0
2010,1,20,13,-13,-1,1033,2,8.05,0,0
2010,1,20,14,-13,-1,1032,3,7.15,0,0
2010,1,20,15,-15,-1,1032,2,5.81,0,0
2010,1,20,16,-14,-1,1033,3,5.81,0,0
2010,1,20,17,-15,-2,1033,3,12.96,0,0
2010,1,20,18,-16,-3,1034,3,21.01,0,0
2010,1,20,19,-17,-4,1035,3,28.16,0,0
2010,1,20,20,-19,-3,1036,3,37.99,0,0
2010,1,20,21,-18,-4,1037,3,46.93,0,0
2010,1,20,22,-19,-4,1038,3,55.87,0,0
2010,1,20,23,-19,-5,1038,3,65.7,0,0
2010,1,21,0,-20,-6,1038,3,75.53,0,0
2010,1,21,1,-20,-6,1038,3,85.36,0,0
2010,1,21,2,-20,-7,1038,3,95.19,0,0
2010,1,21,3,-22,-8,1038,3,103.24,0,0
2010,1,21,4,-23,-8,1038,3,111.29,0,0
2010,1,21,5,-24,-9,1038,3,118.44,0,0
2010,1,21,6,-24,-9,1038,3,128.27,0,0
2010,1,21,7,-25,-9,1038,3,138.1,0,0
2010,1,21,8,-25,-8,1039,3,147.04,0,0
2010,1,21,9,-25,-8,1039,3,155.98,0,0
2010,1,21,10,-22,-7,1039,3,160.9,0,0
2010,1,21,11,-22,-7,1038,2,3.13,0,0
2010,1,21,12,-22,-5,1037,3,4.02,0,0
2010,1,21,13,-21,-5,1035,2,3.13,0,0
2010,1,21,14,-21,-4,1034,4,1.79,0,0
2010,1,21,15,-20,-3,1034,2,1.79,0,0
2010,1,21,16,-21,-2,1033,3,4.92,0,0
2010,1,21,17,-20,-2,1033,3,10.73,0,0
2010,1,21,18,-20,-2,1034,3,15.65,0,0
2010,1,21,19,-19,-3,1034,3,21.46,0,0
2010,1,21,20,-19,-3,1035,3,25.48,0,0
2010,1,21,21,-17,-8,1035,2,0.89,0,0
2010,1,21,22,-18,-9,1035,3,1.79,0,0
2010,1,21,23,-18,-9,1035,3,3.58,0,0
2010,1,22,0,-18,-6,1036,3,7.6,0,0
2010,1,22,1,-20,-4,1037,3,17.43,0,0
2010,1,22,2,-21,-5,1037,3,27.26,0,0
2010,1,22,3,-21,-6,1037,3,35.31,0,0
2010,1,22,4,-20,-7,1036,3,42.46,0,0
2010,1,22,5,-20,-7,1035,3,48.27,0,0
2010,1,22,6,-20,-7,1035,3,54.08,0,0
2010,1,22,7,-20,-7,1036,3,59,0,0
2010,1,22,8,-19,-7,1036,3,63.92,0,0
2010,1,22,9,-20,-5,1036,3,67.94,0,0
2010,1,22,10,-19,-4,1036,3,75.09,0,0
2010,1,22,11,-19,-4,1036,3,84.03,0,0
2010,1,22,12,-19,-3,1035,3,95.21,0,0
2010,1,22,13,-18,-3,1034,3,105.04,0,0
2010,1,22,14,-19,-2,1033,3,114.87,0,0
2010,1,22,15,-18,-2,1032,3,124.7,0,0
2010,1,22,16,-18,-2,1032,3,133.64,0,0
2010,1,22,17,-18,-2,1032,3,139.45,0,0
