climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa
394.0,-17.0,-0.1,-0.03,-0.3,-11.0,8.0,-0.002,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
478.0,6.0,-0.13,0.04,-0.6,-11.0,1.0,-0.002,0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
193.0,60.0,0.06,0.1,0.1,-11.0,-7.0,-0.009,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-380.0,53.0,-0.17,0.15,-0.4,-11.0,-12.0,-0.003,0.0,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-366.0,26.0,-0.02,0.01,-0.9,-12.0,4.0,0.009,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-92.0,14.0,0.28,-0.06,-0.5,-11.0,11.0,0.01,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
356.0,40.0,0.45,0.03,-0.3,-11.0,2.0,0.002,0.0,-0.0007,-0.0007,-0.0007,-0.0006,-0.0002,0.0,-0.0002,0.0,-0.0006
296.0,51.0,0.35,0.09,0.5,-11.0,-6.0,-0.008,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-102.0,57.0,-0.08,0.17,1.0,-10.0,-15.0,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-266.0,53.0,-0.21,0.15,0.8,-10.0,-14.0,-0.007,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007
-71.0,20.0,0.32,0.01,0.8,-10.0,4.0,0.005,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
-146.0,17.0,0.16,0.1,1.4,-10.0,-7.0,-0.013,-0.1,-0.0007,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008
372.0,57.0,0.24,0.01,-0.9,-12.0,5.0,0.013,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
346.0,76.0,0.54,0.07,0.5,-11.0,-4.0,0.004,-0.1,-0.0007,-0.0007,-0.0007,-0.0005,-0.0002,0.0,-0.0003,0.0,-0.0005
-455.0,73.0,-0.23,0.16,1.4,-10.0,-15.0,-0.012,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-531.0,44.0,-0.25,0.02,0.5,-10.0,3.0,0.006,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-56.0,16.0,0.22,-0.05,0.4,-11.0,10.0,0.008,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
253.0,48.0,0.29,0.04,-0.5,-11.0,2.0,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-16.0,60.0,0.01,0.11,0.6,-10.0,-9.0,-0.01,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-212.0,55.0,-0.27,0.12,0.3,-11.0,-9.0,-0.011,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-48.0,9.0,-0.05,0.04,-0.7,-12.0,2.0,0.006,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0,0.0,-0.0006
177.0,11.0,0.21,-0.03,-0.5,-11.0,9.0,0.007,-0.2,-0.0007,-0.0006,-0.0006,-0.0005,-0.0002,0.0,-0.0001,0.0,-0.0005
260.0,87.0,0.12,0.06,1.1,-10.0,-4.0,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-120.0,94.0,-0.36,0.12,0.4,-11.0,-9.0,-0.008,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
13.0,77.0,0.42,0.04,-0.3,-11.0,2.0,0.005,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-337.0,71.0,0.3,0.17,1.2,-10.0,-15.0,-0.01,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-514.0,33.0,-0.23,0.06,1.5,-10.0,-4.0,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-423.0,9.0,-0.45,0.0,0.4,-11.0,5.0,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
172.0,-5.0,-0.13,-0.08,-1.2,-12.0,14.0,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
348.0,5.0,0.03,-0.03,-1.3,-12.0,8.0,0.008,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
426.0,19.0,0.21,0.04,-1.1,-12.0,3.0,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-242.0,-20.0,-0.65,0.03,-0.6,-11.0,2.0,-0.007,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012
-225.0,-23.0,-0.65,-0.02,-1.2,-11.0,2.0,0.011,0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0.0,0.0001,0.0,-0.0008
-29.0,-30.0,-0.02,0.01,-2.2,-12.0,6.0,0.019,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
77.0,-22.0,0.37,0.06,-0.5,-10.0,-2.0,-0.001,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
123.0,-18.0,0.26,0.02,0.6,-9.0,2.0,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-12.0,-14.0,-0.15,0.13,0.8,-9.0,-9.0,-0.019,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012
-75.0,-15.0,-0.28,0.02,0.6,-9.0,-7.0,-0.017,1.3,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012
-86.0,-16.0,-0.38,-0.06,0.4,-10.0,2.0,-0.008,1.2,-0.0009,-0.0009,-0.0009,-0.001,0.0,0.0,0.0001,0.0,-0.001
184.0,-12.0,-0.1,0.01,-1.0,-11.0,5.0,0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
165.0,-3.0,0.02,0.09,-1.1,-11.0,-4.0,0.003,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-95.0,1.0,0.16,0.15,-0.8,-11.0,-11.0,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
66.0,-4.0,0.11,0.01,0.3,-10.0,3.0,-0.009,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-56.0,-2.0,-0.21,0.09,0.1,-10.0,-6.0,-0.007,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-169.0,-8.0,-0.21,0.09,-0.7,-11.0,-5.0,0.002,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
162.0,-11.0,0.11,-0.09,-0.9,-11.0,14.0,0.01,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
179.0,-2.0,0.29,0.1,-0.4,-10.0,-5.0,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-277.0,-4.0,0.14,0.19,0.6,-9.0,-16.0,-0.009,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-103.0,-33.0,-0.06,0.01,-0.7,-11.0,4.0,0.011,-0.1,-0.0005,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
100.0,-34.0,0.3,-0.07,-0.4,-10.0,10.0,0.015,-0.1,-0.0005,-0.0004,-0.0004,-0.0004,-0.0001,0.0,0.0,0.0,-0.0004
25.0,-26.0,0.46,0.1,1.5,-9.0,-7.0,-0.006,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-17.0,-26.0,0.43,0.02,1.8,-8.0,-8.0,-0.006,0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
114.0,-18.0,-0.45,0.01,1.3,-9.0,2.0,-0.002,0.0,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
259.0,0.0,-0.06,0.02,-0.6,-10.0,3.0,0.01,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
265.0,5.0,0.03,0.14,-0.6,-11.0,-6.0,0.007,-1.7,-0.0005,-0.0005,-0.0005,-0.0006,0.0,0.0,0.0001,0.0,-0.0006
124.0,11.0,0.26,0.12,-0.3,-10.0,-11.0,0.012,0.4,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0.0,0.0,0.0,-0.0005
-67.0,12.0,0.36,0.1,0.7,-9.0,-7.0,0.001,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-93.0,11.0,0.36,0.1,0.8,-9.0,-8.0,0.0,-0.2,-0.0007,-0.0007,-0.0007,-0.0006,0.0,0.0,-0.0002,0.0,-0.0006
-184.0,4.0,0.25,0.05,1.7,-8.0,-3.0,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-291.0,-8.0,-0.03,0.07,2.1,-8.0,-6.0,-0.012,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
492.0,3.0,0.0,-0.03,-0.6,-11.0,7.0,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
416.0,18.0,0.14,0.11,-0.5,-10.0,-13.0,0.007,1.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
395.0,19.0,0.15,0.13,-0.5,-10.0,-11.0,0.007,0.8,-0.0006,-0.0006,-0.0006,-0.0006,-0.0001,0.0,0.0,0.0,-0.0006
205.0,30.0,0.05,0.12,-0.2,-10.0,-10.0,-0.009,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-273.0,30.0,-0.27,0.2,-0.5,-10.0,-18.0,-0.01,0.0,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009
-427.0,13.0,-0.2,0.05,-1.2,-11.0,-3.0,0.006,0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-356.0,-3.0,-0.05,0.01,-1.5,-11.0,4.0,0.007,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
415.0,-3.0,0.29,-0.1,-0.7,-11.0,15.0,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
88.0,31.0,0.31,0.14,1.3,-9.0,-13.0,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-178.0,29.0,0.1,0.16,1.7,-8.0,-15.0,-0.013,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-334.0,-2.0,-0.3,0.04,0.9,-9.0,-2.0,-0.004,0.0,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007
