"dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed"
2,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537
2,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985
2,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343
2,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194
2,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642
2,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642
2,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194
2,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284
2,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478
2,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582
2,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284
2,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985
2,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642
3,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582
3,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179
3,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881
3,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836
3,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881
3,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194
3,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836
3,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881
3,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537
3,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284
3,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985
3,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836
3,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836
3,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537
3,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537
3,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239
3,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045
3,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0
3,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045
3,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343
3,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343
3,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045
4,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045
4,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045
4,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343
4,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896
4,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045
4,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045
4,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343
4,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642
4,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239
4,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284
4,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985
4,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642
4,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194
4,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239
4,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537
4,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537
4,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239
4,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194
4,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045
4,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045
4,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0
4,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896
4,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896
5,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0
5,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896
5,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896
5,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239
5,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642
5,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239
5,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194
5,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985
5,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284
5,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284
5,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284
5,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284
5,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985
5,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194
5,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194
5,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896
5,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194
5,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343
5,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045
5,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642
5,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194
5,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343
5,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0
6,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0
6,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0
6,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0
6,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896
6,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896
6,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045
6,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0
6,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0
6,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0
6,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0
6,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896
6,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0
6,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045
6,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642
6,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0
6,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642
6,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642
6,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343
6,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896
6,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642
6,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239
6,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836
6,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194
7,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194
7,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239
7,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239
7,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343
7,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0
7,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0
7,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343
7,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537
7,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985
7,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284
7,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239
7,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537
7,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836
7,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537
7,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642
7,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642
7,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0
7,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896
7,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896
7,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045
7,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343
7,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642
7,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642
8,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642
8,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896
8,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0
8,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642
8,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642
8,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642
8,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642
8,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045
8,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045
8,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045
8,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642
8,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881
8,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582
8,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284
8,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925
8,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478
8,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478
8,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522
8,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985
8,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537
8,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537
8,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582
8,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881
8,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478
9,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881
9,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627
9,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627
9,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179
9,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194
9,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194
9,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836
9,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194
9,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836
9,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224
9,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881
9,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224
9,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478
9,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478
9,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627
9,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582
9,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478
9,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881
9,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284
9,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284
9,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537
9,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179
9,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985
9,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194
10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836
10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836
10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239
10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239
10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343
10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537
10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836
10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239
10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836
10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537
10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985
10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836
10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836
10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836
10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239
10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239
10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343
10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045
10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239
10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642
10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642
10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194
10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642
10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642
11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045
11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642
11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194
11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343
11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343
11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0
11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896
11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642
11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642
11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343
11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045
11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896
11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896
11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896
11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239
11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239
11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045
11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0
11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194
11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896
11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045
11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896
12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896
12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045
12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343
12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642
12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343
12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343
12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642
12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284
12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239
12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881
12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821
12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582
12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284
12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179
12,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284
12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582
12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224
12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179
12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284
12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284
12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478
12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179
13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836
13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836
13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582
13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284
13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537
13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985
13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343
13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343
13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194
13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284
13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582
13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478
13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179
13,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478
13,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881
13,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985
13,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582
13,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836
13,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284
13,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537
13,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239
13,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985
13,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284
13,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194
14,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194
14,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642
14,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343
14,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045
14,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896
14,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0
14,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642
14,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0
14,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343
14,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194
14,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836
14,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537
14,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881
14,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836
14,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642
14,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045
14,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642
14,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0
14,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896
14,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0
14,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0
14,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0
14,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0
15,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0
15,1,0,1,1,0,6,0,2,0.16,0.197,0.59,0.0896
15,1,0,1,2,0,6,0,2,0.16,0.197,0.59,0.0896
15,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0
15,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0
15,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0
15,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045
15,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0
15,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343
15,1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343
15,1,0,1,10,0,6,0,1,0.18,0.197,0.59,0.1642
15,1,0,1,11,0,6,0,1,0.2,0.197,0.55,0.2239
15,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239
15,1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985
15,1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836
15,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.194
15,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.194
15,1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836
15,1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537
15,1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537
15,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537
15,1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239
15,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045
15,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836
16,1,0,1,0,0,0,0,1,0.26,0.303,0.56,0
16,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343
16,1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896
16,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0
16,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642
16,1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642
16,1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642
16,1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985
16,1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836
16,1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537
16,1,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836
16,1,0,1,11,0,0,0,1,0.24,0.2273,0.44,0.2537
16,1,0,1,12,0,0,0,1,0.24,0.2121,0.41,0.2836
16,1,0,1,13,0,0,0,1,0.26,0.2273,0.35,0.2985
16,1,0,1,14,0,0,0,1,0.28,0.2727,0.36,0.2537
16,1,0,1,15,0,0,0,1,0.26,0.2424,0.38,0.2537
16,1,0,1,16,0,0,0,1,0.24,0.2273,0.38,0.2239
16,1,0,1,17,0,0,0,1,0.22,0.2121,0.37,0.2537
16,1,0,1,18,0,0,0,1,0.2,0.2121,0.4,0.1642
16,1,0,1,19,0,0,0,1,0.18,0.197,0.47,0.1343
16,1,0,1,20,0,0,0,1,0.18,0.197,0.47,0.1642
16,1,0,1,21,0,0,0,1,0.18,0.197,0.51,0.1642
16,1,0,1,22,0,0,0,2,0.2,0.2121,0.49,0.1343
16,1,0,1,23,0,0,0,2,0.2,0.2273,0.4,0.1045
17,1,0,1,0,1,1,0,2,0.2,0.197,0.47,0.2239
17,1,0,1,1,1,1,0,2,0.2,0.197,0.44,0.194
17,1,0,1,2,1,1,0,2,0.18,0.1667,0.43,0.2537
17,1,0,1,3,1,1,0,2,0.18,0.1818,0.43,0.194
17,1,0,1,4,1,1,0,2,0.18,0.197,0.43,0.1343
17,1,0,1,5,1,1,0,2,0.18,0.197,0.43,0.1642
17,1,0,1,6,1,1,0,2,0.18,0.1818,0.43,0.194
17,1,0,1,7,1,1,0,2,0.16,0.1818,0.5,0.1343
17,1,0,1,8,1,1,0,2,0.16,0.1515,0.47,0.2239
17,1,0,1,9,1,1,0,2,0.16,0.1515,0.47,0.2239
17,1,0,1,10,1,1,0,2,0.16,0.1515,0.5,0.2537
17,1,0,1,11,1,1,0,2,0.16,0.1515,0.55,0.194
17,1,0,1,12,1,1,0,2,0.18,0.197,0.47,0.1343
17,1,0,1,13,1,1,0,2,0.18,0.197,0.47,0.1343
17,1,0,1,14,1,1,0,2,0.18,0.2121,0.43,0.1045
17,1,0,1,15,1,1,0,2,0.2,0.2121,0.47,0.1642
17,1,0,1,16,1,1,0,2,0.2,0.2121,0.47,0.1642
17,1,0,1,17,1,1,0,1,0.2,0.197,0.51,0.194
17,1,0,1,18,1,1,0,2,0.18,0.1667,0.55,0.2537
17,1,0,1,19,1,1,0,3,0.18,0.1818,0.59,0.194
