"holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","weather_description","date_time"
8,283.52,0,0,75,2,1,207
8,283.32,0,0,90,2,18,208
8,282.06,0,0,90,2,18,209
8,281.95,0,0,90,2,18,210
8,281.81,0,0,90,2,18,211
8,282.16,0,0,90,2,18,212
8,282.53,0,0,90,2,18,213
8,283.91,0,0,90,2,18,214
8,284.64,0,0,90,2,18,215
8,284.61,0,0,90,2,18,216
8,283.18,0,0,72,3,10,217
8,282.26,0,0,72,7,12,218
8,280.77,0,0,72,3,10,219
8,278.53,0,0,75,2,1,220
8,277.64,0,0,75,2,1,221
8,277.9,0,0,90,2,18,222
8,278.18,0,0,90,2,18,223
8,279.29,0,0,75,2,1,224
8,280.45,0,0,75,2,1,225
8,280.95,0,0,40,2,23,226
8,281.74,0,0,40,2,23,227
8,281.84,0,0,75,2,1,228
8,282.45,0,0,75,2,1,229
8,282.2,0,0,75,2,1,230
8,281.54,0,0,40,2,23,231
8,280.21,0,0,20,2,3,232
8,282.2,0,0,56,1,26,233
8,272.58,0,0,1,1,26,234
8,272.06,0,0,1,1,26,235
8,270.99,0,0,1,1,26,236
8,270.29,0,0,20,2,3,237
8,269.48,0,0,1,1,26,238
8,269.27,0,0,1,1,26,239
8,268.91,0,0,1,1,26,240
8,268.98,0,0,75,2,1,241
8,269.23,0,0,40,2,23,242
8,272.61,0,0,40,2,23,243
8,276.78,0,0,20,2,3,244
8,279.22,0,0,1,1,26,245
8,280.35,0,0,1,1,26,246
8,281.81,0,0,1,1,26,247
8,283.05,0,0,1,1,26,248
8,283.96,0,0,1,1,26,249
8,284.53,0,0,1,1,26,250
8,284.44,0,0,1,1,26,251
8,283.64,0,0,1,1,26,252
8,281.85,0,0,20,2,3,253
8,281.38,0,0,1,1,26,254
8,281.84,0,0,75,2,1,255
8,282.23,0,0,90,2,18,256
8,282.18,0,0,90,2,18,257
8,282.49,0,0,90,2,18,258
8,282.54,0,0,90,2,18,259
8,282.58,0,0,90,2,18,260
8,282.23,0,0,90,2,18,261
8,282.08,0,0,90,2,18,262
8,282.23,0,0,90,2,18,263
8,282.24,0,0,90,2,18,264
8,282.24,0,0,90,2,18,265
8,282.24,0,0,57,6,16,266
8,282.43,0,0,57,3,10,267
8,282.43,0,0,57,6,16,267
8,282.43,0,0,57,5,6,267
8,282.33,0,0,57,3,10,268
8,282.33,0,0,57,6,16,268
8,282.82,0,0,57,3,10,269
8,282.82,0,0,57,6,16,269
8,283.33,0,0,57,6,16,270
8,283.33,0,0,57,7,12,270
8,283.33,0,0,57,3,10,270
8,283.75,0,0,93,7,12,271
8,283.75,0,0,93,6,16,271
8,283.75,0,0,93,3,10,271
8,284.09,0,0,93,6,16,272
8,284.09,0,0,93,7,12,272
8,284.09,0,0,93,3,10,272
8,284.55,0,0,93,6,16,273
8,284.55,0,0,93,7,12,273
8,284.68,0,0,93,6,16,274
8,284.64,0,0,93,7,12,275
8,284.64,0,0,93,6,16,275
8,284.4,0,0,93,6,16,276
8,284.17,0,0,93,6,16,277
8,284.03,0,0,93,6,16,278
8,283.58,0,0,93,6,16,279
8,283.04,0,0,93,6,16,280
8,281.95,0,0,93,6,16,281
8,281.95,0,0,93,4,4,281
8,281.61,0,0,93,6,16,282
8,281.61,0,0,93,4,4,282
8,281.57,0,0,85,4,4,283
8,281.42,0,0,85,4,4,284
8,281.29,0,0,85,6,16,285
8,281.29,0,0,85,4,4,285
8,281.02,0,0,85,6,16,286
8,281.02,0,0,85,4,4,286
8,280.82,0,0,85,6,16,287
8,280.82,0,0,85,4,4,287
8,280.39,0,0,85,6,16,288
8,280.19,0,0,100,6,16,289
8,279.82,0,0,100,6,16,290
8,279.75,0,0,100,6,16,291
8,280.07,0,0,100,6,16,292
8,280.32,0,0,90,2,18,293
8,281.72,0,0,100,1,26,294
8,284.01,0,0,40,2,23,295
8,285.88,0,0,1,1,26,296
8,286.87,0,0,1,1,26,297
8,287.6,0,0,20,2,3,298
8,287.27,0,0,20,2,3,299
8,286.18,0,0,20,2,3,300
8,285.2,0,0,75,2,1,301
8,284.68,0,0,75,2,1,302
8,284.49,0,0,90,2,18,303
8,283.54,0,0,20,2,3,304
8,282.33,0,0,75,2,1,305
8,281.21,0,0,20,2,3,306
8,279.87,0,0,1,1,26,307
8,278.93,0,0,1,1,26,308
8,277.91,0,0,1,1,26,309
8,277.21,0,0,1,1,26,310
8,276.61,0,0,1,1,26,311
8,276.11,0,0,1,1,26,312
8,274.81,0,0,20,2,3,313
8,274.99,0,0,20,2,3,314
8,277.91,0,0,20,2,3,315
8,280.71,0,0,20,2,3,316
8,283.85,0,0,20,2,3,317
8,286.01,0,0,40,2,23,318
8,286.31,0,0,1,1,26,319
8,288.15,0,0,75,2,1,320
8,289.15,0,0,75,2,1,321
8,288.99,0,0,75,2,1,322
8,288.86,0,0,75,2,1,323
8,288.16,0,0,90,2,18,324
8,287.28,0,0,68,7,12,325
8,287.04,0,0,90,2,18,326
8,286.9,0,0,90,2,18,327
8,287.09,0,0,90,2,18,328
8,287.09,0,0,90,2,18,329
8,286.89,0,0,75,2,1,330
8,286.93,0,0,75,2,1,331
8,286.93,0,0,90,2,18,332
8,287.07,0,0,90,2,18,333
8,286.56,0,0,75,2,1,334
8,285.91,0,0,90,2,18,335
8,285.29,0,0,90,2,18,336
8,284.92,0,0,75,2,1,337
8,285.35,0,0,75,2,1,338
8,285.72,0,0,100,7,19,339
8,285.72,0,0,100,7,12,339
8,287.09,0,0,75,2,1,340
8,288.31,0,0,75,2,1,341
8,288.61,0,0,1,1,26,342
8,290.32,0,0,1,1,26,343
8,291.36,0,0,1,1,26,344
8,292.01,0,0,1,1,26,345
8,292.61,0,0,1,1,26,346
8,292.65,0,0,1,1,26,347
8,290.52,0,0,40,2,23,348
8,288.35,0,0,40,2,23,349
8,286.72,0,0,40,2,23,350
8,285.49,0,0,40,2,23,351
8,284.22,0,0,20,2,3,352
8,283.8,0,0,20,2,3,353
8,283.72,0,0,20,2,3,354
8,282.8,0,0,40,2,23,355
8,282.32,0,0,99,6,16,356
8,282.38,0,0,99,6,16,357
8,282.76,0,0,90,2,18,358
8,282.88,0,0,99,6,16,359
8,284.18,0,0,75,2,1,360
8,284.69,0,0,90,2,18,361
8,285,0,0,90,2,18,362
8,286.9,0,0,99,7,12,363
8,288.35,0,0,90,2,18,364
8,289.59,0,0,90,2,18,365
8,288.27,0,0,99,7,12,366
8,286.41,0,0,90,2,18,367
8,285.96,0,0,90,2,18,368
8,287.04,0,0,90,2,18,369
8,287.18,0,0,90,2,18,370
8,286.94,0,0,90,2,18,371
8,286.01,0,0,90,2,18,372
8,284.67,0,0,100,3,10,373
8,283.44,0,0,100,7,12,374
8,282.51,0,0,100,3,10,375
8,281.9,0,0,90,2,18,376
8,281.85,0,0,90,2,18,377
8,281.28,0,0,90,2,18,378
8,280.97,0,0,87,6,16,379
8,280.44,0,0,87,3,10,380
8,280.44,0,0,87,6,16,380
8,280.02,0,0,87,6,16,381
8,279.79,0,0,87,3,10,382
8,279.79,0,0,87,6,16,382
8,279.79,0,0,87,7,12,382
8,279.79,0,0,87,3,2,382
8,279.74,0,0,87,6,16,383
8,279.74,0,0,87,7,12,383
8,279.65,0,0,87,3,10,384
8,279.65,0,0,87,6,16,384
8,279.65,0,0,87,7,12,384
8,279.45,0,0,91,6,16,385
8,279.45,0,0,91,7,17,385
8,279.22,0,0,91,3,10,386
8,279.22,0,0,91,6,16,386
8,279.22,0,0,91,7,12,386
8,279.35,0,0,91,7,12,387
8,279.35,0,0,91,6,16,387
8,279.92,0,0,91,6,16,388
8,280.44,0,0,90,2,18,389
8,281,0,0,90,2,18,390
8,281.51,0,0,90,2,18,391
8,281.93,0,0,92,6,16,392
8,281.94,0,0,92,6,16,393
8,281.94,0,0,92,3,10,393
8,282.27,0,0,92,7,17,394
8,282.41,0,0,92,7,12,395
8,282.21,0,0,90,2,18,396
8,281.69,0,0,75,2,1,397
8,281.26,0,0,90,2,18,398
8,280.66,0,0,92,6,16,399
8,280.43,0,0,92,3,2,400
8,280.43,0,0,92,3,10,400
8,280.1,0,0,92,6,16,401
8,280.1,0,0,92,7,12,401
8,280.1,0,0,92,3,10,401
8,280.06,0,0,92,7,12,402
8,280.06,0,0,92,7,17,402
8,280.28,0,0,96,3,2,403
8,280.28,0,0,96,7,12,403
8,280.38,0,0,96,3,10,404
8,280.62,0,0,96,3,10,405
8,280.62,0,0,96,6,16,405
8,280.91,0,0,96,6,16,406
8,280.91,0,0,96,3,2,406
8,280.91,0,0,96,7,12,406
8,280.96,0,0,96,7,12,407
8,280.96,0,0,96,6,16,407
8,280.96,0,0,96,3,2,407
8,281.13,0,0,96,7,12,408
8,281.13,0,0,96,6,16,408
8,281.13,0,0,96,3,10,408
8,281.28,0,0,100,7,12,409
8,281.28,0,0,100,6,16,409
8,281.28,0,0,100,3,2,409
8,281.19,0,0,100,7,12,410
8,281.19,0,0,100,6,16,410
8,281.19,0,0,100,3,2,410
8,281.7,0,0,100,7,12,411
8,281.7,0,0,100,3,2,411
8,281.7,0,0,100,6,16,411
8,281.7,0,0,100,3,10,411
8,282.02,0,0,100,7,12,412
8,282.02,0,0,100,3,2,412
8,282.02,0,0,100,6,16,412
8,282.02,0,0,100,7,17,412
8,282.35,0,0,100,7,12,413
8,282.35,0,0,100,6,16,413
8,282.35,0,0,100,3,2,413
8,282.71,0,0,100,7,8,414
8,282.71,0,0,100,6,16,414
8,282.71,0,0,100,7,12,414
8,282.71,0,0,100,7,17,414
8,283.31,0,0,48,7,12,415
8,283.79,0,0,90,2,18,416
8,284.2,0,0,75,2,1,417
8,284.32,0,0,90,2,18,418
8,284.13,0,0,75,2,1,419
8,283.14,0,0,40,2,23,420
8,281.4,0,0,40,2,23,421
8,280.47,0,0,20,2,3,422
8,279.52,0,0,20,2,3,423
8,278.85,0,0,48,6,16,424
8,278.12,0,0,48,4,4,425
8,277.94,0,0,48,6,16,426
8,275.93,0,0,60,4,4,427
8,275.93,0,0,60,6,16,427
8,284.09,0,0,75,2,1,428
8,282.6,0,0,75,2,1,429
8,281.72,0,0,90,2,18,430
8,281.26,0,0,90,2,18,431
8,281.29,0,0,75,2,1,432
8,281.01,0,0,75,2,1,433
8,280.57,0,0,40,2,23,434
8,280.54,0,0,75,2,1,435
8,279.37,0,0,8,6,16,436
8,279.18,0,0,8,6,16,437
8,279.05,0,0,8,6,16,438
8,282.7,0,0,38,1,26,439
8,286.17,0,0,40,2,23,440
8,288.61,0,0,75,2,1,441
8,290.59,0,0,20,2,3,442
8,292.21,0,0,75,2,1,443
8,293.56,0,0,75,2,1,444
8,293.43,0,0,40,2,23,445
8,293.4,0,0,40,2,23,446
8,291.47,0,0,20,2,3,447
8,289.17,0,0,20,2,3,448
8,287.28,0,0,1,1,26,449
8,286.1,0,0,1,1,26,450
8,285.45,0,0,75,2,1,451
8,285.33,0,0,90,2,18,452
8,285.07,0,0,90,2,18,453
8,284.58,0,0,90,2,18,454
8,283.88,0,0,75,2,1,455
8,283.55,0,0,75,2,1,456
8,282.85,0,0,20,2,3,457
8,282.42,0,0,20,2,3,458
8,282.13,0,0,75,2,1,459
8,281.85,0,0,40,2,23,460
8,281.85,0,0,20,2,3,461
8,283.07,0,0,75,2,1,462
8,284.53,0,0,90,2,18,463
8,285.6,0,0,75,2,1,464
8,286.63,0,0,90,2,18,465
8,286.75,0,0,99,7,17,466
8,287.97,0,0,90,2,18,467
8,288.54,0,0,99,11,20,468
8,288.72,0,0,90,2,18,469
8,288.53,0,0,90,2,18,470
8,288.16,0,0,90,2,18,471
8,287.59,0,0,90,2,18,472
8,287.21,0,0,90,2,18,473
8,286.29,0,0,90,2,18,474
8,285.7,0,0,90,2,18,475
8,285.61,0,0,90,2,18,476
8,285.37,0,0,99,3,10,477
8,285.37,0,0,99,6,16,477
8,285.51,0,0,90,2,18,478
8,285.6,0,0,100,5,6,479
8,285.99,0,0,100,6,16,480
8,285.99,0,0,100,5,6,480
8,285.94,0,0,100,6,16,481
8,285.94,0,0,100,11,20,481
8,285.97,0,0,90,6,16,482
8,285.97,0,0,90,7,12,482
8,285.97,0,0,90,11,20,482
8,285.73,0,0,90,6,16,483
8,285.73,0,0,90,11,36,483
8,285.73,0,0,90,7,17,483
8,285.73,0,0,90,11,20,483
8,285.5,0,0,90,7,12,484
8,285.5,0,0,90,6,16,484
8,285.55,0,0,90,3,10,485
8,285.55,0,0,90,6,16,485
8,285.55,0,0,90,7,12,485
8,285.55,0,0,90,11,20,485
8,285.93,0,0,90,3,10,486
8,285.93,0,0,90,6,16,486
8,285.93,0,0,90,7,17,486
8,286.34,0,0,90,6,16,487
8,286.82,0,0,90,6,16,488
8,286.82,0,0,90,4,4,488
8,288.36,0,0,90,6,16,489
8,288.36,0,0,90,5,6,489
8,288.36,0,0,90,4,4,489
8,289.08,0,0,90,5,6,490
8,289.08,0,0,90,6,16,490
8,289.08,0,0,90,4,4,490
8,289.88,0,0,90,6,16,491
8,289.88,0,0,90,5,6,491
8,290.24,0,0,90,6,16,492
8,290.24,0,0,90,5,6,492
8,290.24,0,0,90,7,17,492
8,290.01,0,0,90,6,16,493
8,289.62,0,0,90,5,6,494
8,289.62,0,0,90,6,16,494
8,289.61,0,0,90,5,6,495
8,289.61,0,0,90,6,16,495
8,289.06,0,0,90,6,16,496
8,288.34,0,0,75,5,6,497
8,288.34,0,0,75,6,16,497
8,287.06,0,0,20,6,16,498
8,287.41,0,0,75,6,16,499
8,287.52,0,0,90,6,16,500
8,287.81,0,0,90,6,16,501
8,287.29,0,0,75,6,16,502
8,287.23,0,0,90,6,16,503
8,286.44,0,0,90,6,16,504
8,285.32,0,0,90,6,16,505
8,285.32,0,0,90,4,4,505
8,285.43,0,0,90,6,16,506
8,285.53,0,0,75,6,16,507
8,285.2,0,0,90,6,16,508
8,285.2,0,0,90,4,4,508
8,285.02,0,0,90,6,16,509
8,286.43,0,0,90,6,16,510
8,287.36,0,0,90,6,16,511
8,287.6,0,0,90,6,16,512
8,287.29,0,0,90,2,18,513
8,286.41,0,0,90,7,12,514
8,286.41,0,0,90,6,16,514
8,286.41,0,0,90,3,10,514
8,286.41,0,0,90,3,2,514
8,285.8,0,0,90,3,10,515
8,285.8,0,0,90,6,16,515
8,285.8,0,0,90,7,12,515
8,285.8,0,0,90,3,2,515
8,285.8,0,0,90,7,17,515
8,285.29,0,0,90,7,12,516
8,285.29,0,0,90,6,16,516
8,285.29,0,0,90,3,10,516
8,284.77,0,0,90,7,17,517
8,284.77,0,0,90,6,16,517
8,284.77,0,0,90,7,12,517
8,284.29,0,0,90,3,10,518
8,284.29,0,0,90,6,16,518
8,284.29,0,0,90,7,17,518
8,284.29,0,0,90,7,12,518
8,283.79,0,0,90,3,10,519
8,283.79,0,0,90,6,16,519
8,283.79,0,0,90,7,12,519
8,283.44,0,0,90,7,12,520
8,283.44,0,0,90,6,16,520
8,283.44,0,0,90,3,2,520
8,283.22,0,0,90,7,17,521
8,283.22,0,0,90,6,16,521
8,283.22,0,0,90,3,10,521
8,282.82,0,0,90,2,18,522
8,282.13,0,0,90,2,18,523
8,281.05,0,0,90,7,12,524
8,281.05,0,0,90,7,17,524
8,281.05,0,0,90,3,10,524
8,280.44,0,0,90,3,2,525
8,280.44,0,0,90,7,12,525
8,280.07,0,0,90,7,12,526
8,280.07,0,0,90,6,16,526
8,280.07,0,0,90,3,10,526
8,279.54,0,0,90,7,12,527
8,279.54,0,0,90,6,16,527
8,279.54,0,0,90,3,10,527
8,279.54,0,0,90,3,2,527
8,278.93,0,0,90,7,12,528
8,278.93,0,0,90,6,16,528
8,278.93,0,0,90,7,17,528
8,278.93,0,0,90,3,10,528
8,278.93,0,0,90,3,2,528
8,278.27,0,0,90,7,8,529
8,278.27,0,0,90,6,16,529
8,278.27,0,0,90,7,17,529
8,278.27,0,0,90,11,22,529
8,278.07,0,0,90,7,8,530
8,278.07,0,0,90,6,16,530
8,278.07,0,0,90,7,17,530
8,277.53,0,0,90,7,12,531
8,277.53,0,0,90,7,17,531
8,276.23,0,0,90,7,12,532
8,276.23,0,0,90,6,16,532
8,276.23,0,0,90,7,17,532
8,275.66,0,0,90,7,12,533
8,275.66,0,0,90,6,16,533
8,275.66,0,0,90,9,9,533
8,275.02,0,0,90,7,12,534
8,275.02,0,0,90,6,16,534
8,275.02,0,0,90,7,17,534
8,275.02,0,0,90,9,9,534
8,275.03,0,0,90,7,12,535
8,275.03,0,0,90,9,9,535
8,275.03,0,0,90,6,16,535
8,275.03,0,0,90,7,17,535
8,274.5,0,0,90,6,16,536
8,274.5,0,0,90,9,9,536
8,275.01,0,0,90,9,9,537
8,275.38,0,0,90,9,9,538
8,275.38,0,0,90,6,16,538
8,275.85,0,0,90,9,9,539
8,276.56,0,0,90,2,18,540
8,276.7,0,0,90,2,18,541
8,276.71,0,0,90,2,18,542
8,276.43,0,0,90,2,18,543
8,276.23,0,0,90,2,18,544
8,275.99,0,0,75,2,1,545
8,276.28,0,0,90,2,18,546
8,276.28,0,0,90,2,18,547
8,276.01,0,0,90,2,18,548
8,275.36,0,0,90,2,18,549
8,274.93,0,0,20,2,3,550
8,274.28,0,0,20,2,3,551
8,274.01,0,0,1,1,26,552
8,273.71,0,0,1,1,26,553
8,273.43,0,0,1,1,26,554
8,273.65,0,0,20,2,3,555
8,274.58,0,0,75,2,1,556
8,275.39,0,0,90,2,18,557
8,275.44,0,0,0,1,26,558
8,276.11,0,0,90,2,18,559
8,276.48,0,0,90,2,18,560
8,276.5,0,0,90,2,18,561
8,276.56,0,0,90,2,18,562
8,276.61,0,0,90,2,18,563
8,276.9,0,0,90,2,18,564
8,276.61,0,0,90,2,18,565
8,276.34,0,0,90,2,18,566
8,275.96,0,0,90,2,18,567
8,275.6,0,0,90,2,18,568
8,274.86,0,0,90,2,18,569
8,274.05,0,0,20,2,3,570
8,273.62,0,0,20,2,3,571
8,273.52,0,0,20,2,3,572
8,273.54,0,0,90,2,18,573
8,273.63,0,0,90,2,18,574
8,273.63,0,0,90,2,18,575
8,273.22,0,0,90,2,18,576
8,272.75,0,0,75,2,1,577
8,272.16,0,0,75,2,1,578
8,271.06,0,0,20,2,3,579
8,270.68,0,0,1,1,26,580
8,272.6,0,0,1,1,26,581
8,274.06,0,0,1,1,26,582
8,275.81,0,0,1,1,26,583
8,277.54,0,0,20,2,3,584
8,278.54,0,0,40,2,23,585
8,278.97,0,0,40,2,23,586
8,278.91,0,0,75,2,1,587
8,278.81,0,0,75,2,1,588
8,278.27,0,0,75,2,1,589
8,276.67,0,0,75,2,1,590
8,275.86,0,0,75,2,1,591
8,274.29,0,0,75,2,1,592
8,273.37,0,0,75,2,1,593
8,272.77,0,0,75,2,1,594
8,272.01,0,0,75,2,1,595
8,271.78,0,0,40,2,23,596
8,271.41,0,0,75,5,6,597
8,271.46,0,0,75,6,16,598
8,271.76,0,0,75,2,1,599
8,272.24,0,0,90,2,18,600
8,271.98,0,0,90,2,18,601
8,271.53,0,0,40,2,23,602
8,271.46,0,0,40,2,23,603
8,271.7,0,0,40,2,23,604
8,273.26,0,0,75,2,1,605
8,274.9,0,0,90,2,18,606
8,276.33,0,0,90,2,18,607
8,277.58,0,0,90,9,9,608
8,278.5,0,0,90,2,18,609
8,279.3,0,0,90,2,18,610
8,279.89,0,0,90,2,18,611
8,280.11,0,0,40,2,23,612
8,279.82,0,0,40,2,23,613
8,278.69,0,0,40,2,23,614
8,277.75,0,0,40,2,23,615
8,276.77,0,0,40,2,23,616
8,276.61,0,0,75,2,1,617
8,276.06,0,0,75,2,1,618
8,275.22,0,0,20,2,3,619
8,274.75,0,0,20,2,3,620
8,274.24,0,0,20,2,3,621
8,273.47,0,0,20,2,3,622
8,273.5,0,0,1,1,26,623
8,273.15,0,0,75,2,1,624
8,273,0,0,20,2,3,625
8,272.69,0,0,20,2,3,626
8,273.08,0,0,40,2,23,627
8,273.91,0,0,75,2,1,628
8,274.82,0,0,75,2,1,629
8,276.16,0,0,75,2,1,630
8,277.69,0,0,90,2,18,631
8,278.47,0,0,90,2,18,632
8,279.12,0,0,90,2,18,633
8,279.28,0,0,90,2,18,634
8,280.19,0,0,90,2,18,635
