"displacement","cylinders","horsepower","weight","acceleration","model_year","origin"
304,8,150,4257,15.5,74,1
98,4,83,2219,16.5,74,2
79,4,67,1963,15.5,74,2
97,4,78,2300,14.5,74,2
76,4,52,1649,16.5,74,3
83,4,61,2003,19,74,3
90,4,75,2125,14.5,74,1
90,4,75,2108,15.5,74,2
116,4,75,2246,14,74,2
120,4,97,2489,15,74,3
108,4,93,2391,15.5,74,3
79,4,67,2000,16,74,2
225,6,95,3264,16,75,1
250,6,105,3459,16,75,1
250,6,72,3432,21,75,1
250,6,72,3158,19.5,75,1
400,8,170,4668,11.5,75,1
350,8,145,4440,14,75,1
318,8,150,4498,14.5,75,1
351,8,148,4657,13.5,75,1
231,6,110,3907,21,75,1
250,6,105,3897,18.5,75,1
258,6,110,3730,19,75,1
225,6,95,3785,19,75,1
231,6,110,3039,15,75,1
262,8,110,3221,13.5,75,1
302,8,129,3169,12,75,1
97,4,75,2171,16,75,3
140,4,83,2639,17,75,1
232,6,100,2914,16,75,1
140,4,78,2592,18.5,75,1
134,4,96,2702,13.5,75,3
90,4,71,2223,16.5,75,2
119,4,97,2545,17,75,3
171,6,97,2984,14.5,75,1
90,4,70,1937,14,75,2
232,6,90,3211,17,75,1
115,4,95,2694,15,75,2
120,4,88,2957,17,75,2
121,4,98,2945,14.5,75,2
121,4,115,2671,13.5,75,2
91,4,53,1795,17.5,75,3
107,4,86,2464,15.5,76,2
116,4,81,2220,16.9,76,2
140,4,92,2572,14.9,76,1
98,4,79,2255,17.7,76,1
101,4,83,2202,15.3,76,2
305,8,140,4215,13,76,1
318,8,150,4190,13,76,1
304,8,120,3962,13.9,76,1
351,8,152,4215,12.8,76,1
225,6,100,3233,15.4,76,1
250,6,105,3353,14.5,76,1
200,6,81,3012,17.6,76,1
232,6,90,3085,17.6,76,1
85,4,52,2035,22.2,76,1
98,4,60,2164,22.1,76,1
90,4,70,1937,14.2,76,2
91,4,53,1795,17.4,76,3
225,6,100,3651,17.7,76,1
250,6,78,3574,21,76,1
250,6,110,3645,16.2,76,1
258,6,95,3193,17.8,76,1
97,4,71,1825,12.2,76,2
85,4,70,1990,17,76,3
97,4,75,2155,16.4,76,3
140,4,72,2565,13.6,76,1
130,4,102,3150,15.7,76,2
318,8,150,3940,13.2,76,1
120,4,88,3270,21.9,76,2
156,6,108,2930,15.5,76,3
168,6,120,3820,16.7,76,2
350,8,180,4380,12.1,76,1
350,8,145,4055,12,76,1
302,8,130,3870,15,76,1
318,8,150,3755,14,76,1
98,4,68,2045,18.5,77,3
111,4,80,2155,14.8,77,1
79,4,58,1825,18.6,77,2
122,4,96,2300,15.5,77,1
85,4,70,1945,16.8,77,3
305,8,145,3880,12.5,77,1
260,8,110,4060,19,77,1
318,8,145,4140,13.7,77,1
302,8,130,4295,14.9,77,1
250,6,110,3520,16.4,77,1
231,6,105,3425,16.9,77,1
225,6,100,3630,17.7,77,1
250,6,98,3525,19,77,1
400,8,180,4220,11.1,77,1
350,8,170,4165,11.4,77,1
400,8,190,4325,12.2,77,1
351,8,149,4335,14.5,77,1
97,4,78,1940,14.5,77,2
151,4,88,2740,16,77,1
97,4,75,2265,18.2,77,3
140,4,89,2755,15.8,77,1
98,4,63,2051,17,77,1
98,4,83,2075,15.9,77,1
97,4,67,1985,16.4,77,3
97,4,78,2190,14.1,77,2
146,6,97,2815,14.5,77,3
121,4,110,2600,12.8,77,2
80,3,110,2720,13.5,77,3
90,4,48,1985,21.5,78,2
98,4,66,1800,14.4,78,1
78,4,52,1985,19.4,78,3
85,4,70,2070,18.6,78,3
91,4,60,1800,16.4,78,3
260,8,110,3365,15.5,78,1
318,8,140,3735,13.2,78,1
302,8,139,3570,12.8,78,1
231,6,105,3535,19.2,78,1
200,6,95,3155,18.2,78,1
200,6,85,2965,15.8,78,1
140,4,88,2720,15.4,78,1
225,6,100,3430,17.2,78,1
232,6,90,3210,17.2,78,1
231,6,105,3380,15.8,78,1
200,6,85,3070,16.7,78,1
225,6,110,3620,18.7,78,1
258,6,120,3410,15.1,78,1
305,8,145,3425,13.2,78,1
231,6,165,3445,13.4,78,1
302,8,139,3205,11.2,78,1
318,8,140,4080,13.7,78,1
98,4,68,2155,16.5,78,1
134,4,95,2560,14.2,78,3
119,4,97,2300,14.7,78,3
105,4,75,2230,14.5,78,1
134,4,95,2515,14.8,78,3
156,4,105,2745,16.7,78,1
151,4,85,2855,17.6,78,1
119,4,97,2405,14.9,78,3
131,5,103,2830,15.9,78,2
163,6,125,3140,13.6,78,2
121,4,115,2795,15.7,78,2
163,6,133,3410,15.8,78,2
89,4,71,1990,14.9,78,2
98,4,68,2135,16.6,78,3
231,6,115,3245,15.4,79,1
200,6,85,2990,18.2,79,1
140,4,88,2890,17.3,79,1
232,6,90,3265,18.2,79,1
225,6,110,3360,16.6,79,1
305,8,130,3840,15.4,79,1
302,8,129,3725,13.4,79,1
351,8,138,3955,13.2,79,1
318,8,135,3830,15.2,79,1
350,8,155,4360,14.9,79,1
351,8,142,4054,14.3,79,1
267,8,125,3605,15,79,1
360,8,150,3940,13,79,1
89,4,71,1925,14,79,2
86,4,65,1975,15.2,79,3
98,4,80,1915,14.4,79,1
121,4,80,2670,15,79,1
183,5,77,3530,20.1,79,2
350,8,125,3900,17.4,79,1
141,4,71,3190,24.8,79,2
260,8,90,3420,22.2,79,1
105,4,70,2200,13.2,79,1
105,4,70,2150,14.9,79,1
85,4,65,2020,19.2,79,3
91,4,69,2130,14.7,79,2
151,4,90,2670,16,79,1
173,6,115,2595,11.3,79,1
173,6,115,2700,12.9,79,1
151,4,90,2556,13.2,79,1
98,4,76,2144,14.7,80,2
89,4,60,1968,18.8,80,3
98,4,70,2120,15.5,80,1
86,4,65,2019,16.4,80,3
151,4,90,2678,16.5,80,1
140,4,88,2870,18.1,80,1
151,4,90,3003,20.1,80,1
225,6,90,3381,18.7,80,1
97,4,78,2188,15.8,80,2
134,4,90,2711,15.5,80,3
120,4,75,2542,17.5,80,3
119,4,92,2434,15,80,3
108,4,75,2265,15.2,80,3
86,4,65,2110,17.9,80,3
156,4,105,2800,14.4,80,1
85,4,65,2110,19.2,80,3
90,4,48,2085,21.7,80,2
90,4,48,2335,23.7,80,2
121,5,67,2950,19.9,80,2
146,4,67,3250,21.8,80,2
91,4,67,1850,13.8,80,3
85,4,104.469387755102,1835,17.3,80,2
97,4,67,2145,18,80,3
89,4,62,1845,15.3,80,2
168,6,132,2910,11.4,80,3
70,3,100,2420,12.5,80,3
122,4,88,2500,15.1,80,2
140,4,104.469387755102,2905,14.3,80,1
107,4,72,2290,17,80,3
135,4,84,2490,15.7,81,1
151,4,84,2635,16.4,81,1
156,4,92,2620,14.4,81,1
173,6,110,2725,12.6,81,1
135,4,84,2385,12.9,81,1
79,4,58,1755,16.9,81,3
86,4,64,1875,16.4,81,1
81,4,60,1760,16.1,81,3
97,4,67,2065,17.8,81,3
85,4,65,1975,19.4,81,3
89,4,62,2050,17.3,81,3
91,4,68,1985,16,81,3
105,4,63,2215,14.9,81,1
98,4,65,2045,16.2,81,1
98,4,65,2380,20.7,81,1
105,4,74,2190,14.2,81,2
100,4,104.469387755102,2320,15.8,81,2
107,4,75,2210,14.4,81,3
108,4,75,2350,16.8,81,3
119,4,100,2615,14.8,81,3
120,4,74,2635,18.3,81,3
141,4,80,3230,20.4,81,2
145,6,76,3160,19.6,81,2
168,6,116,2900,12.6,81,3
146,6,120,2930,13.8,81,3
231,6,110,3415,15.8,81,1
350,8,105,3725,19,81,1
200,6,88,3060,17.1,81,1
225,6,85,3465,16.6,81,1
112,4,88,2605,19.6,82,1
112,4,88,2640,18.6,82,1
112,4,88,2395,18,82,1
112,4,85,2575,16.2,82,1
135,4,84,2525,16,82,1
151,4,90,2735,18,82,1
140,4,92,2865,16.4,82,1
151,4,104.469387755102,3035,20.5,82,1
105,4,74,1980,15.3,82,2
91,4,68,2025,18.2,82,3
91,4,68,1970,17.6,82,3
105,4,63,2125,14.7,82,1
98,4,70,2125,17.3,82,1
120,4,88,2160,14.5,82,3
107,4,75,2205,14.5,82,3
108,4,70,2245,16.9,82,3
91,4,67,1965,15,82,3
91,4,67,1965,15.7,82,3
91,4,67,1995,16.2,82,3
181,6,110,2945,16.4,82,1
262,6,85,3015,17,82,1
156,4,92,2585,14.5,82,1
232,6,112,2835,14.7,82,1
144,4,96,2665,13.9,82,3
135,4,84,2370,13,82,1
151,4,90,2950,17.3,82,1
140,4,86,2790,15.6,82,1
97,4,52,2130,24.6,82,2
135,4,84,2295,11.6,82,1
120,4,79,2625,18.6,82,1
119,4,82,2720,19.4,82,1
