"DateTime","Temperature","Humidity","Wind Speed","general diffuse flows","diffuse flows"
1693,10.18,81.7,0.079,0.059,0.159
1694,10.41,82.3,0.074,0.077,0.126
1695,10.41,81.4,0.078,0.095,0.134
1696,10.39,81.5,0.074,0.088,0.119
1697,10.16,81.9,0.075,0.073,0.122
1698,9.97,82.8,0.077,0.066,0.178
1699,10.03,83.8,0.08,0.029,0.163
1700,9.98,83,0.078,0.073,0.115
1701,9.74,82.8,0.081,0.106,0.126
1702,9.54,83.7,0.078,0.081,0.174
1703,9.53,83.9,0.072,0.066,0.182
1704,9.56,84.1,0.073,0.077,0.134
1705,9.58,84.5,0.075,0.048,0.134
1706,9.44,84.1,0.075,0.07,0.145
1707,9.4,84.4,0.077,0.07,0.122
1708,9.38,84.6,0.076,0.044,0.141
1709,9.16,84.7,0.077,0.048,0.145
1710,9.06,85.6,0.076,0.059,0.141
1711,9.17,85.8,0.078,0.073,0.163
1712,9.46,86.2,0.076,0.07,0.152
1713,9.74,85.4,0.072,0.077,0.111
1714,9.8,84.4,0.077,0.081,0.122
1715,9.58,83.9,0.079,0.073,0.13
1716,9.51,83.7,0.082,0.081,0.137
1717,9.44,83.2,0.084,0.124,0.223
1718,9.18,82.5,0.083,0.871,0.89
1719,8.96,83.4,0.083,2.95,2.867
1720,8.71,83.9,0.081,6.657,6.472
1721,8.52,85.1,0.081,13.02,11.56
1722,8.43,85.4,0.079,39.1,19.49
1723,8.44,85.9,0.08,64.11,24.49
1724,8.69,86.7,0.079,92.3,27.88
1725,9.02,86.7,0.082,117.2,30.43
1726,9.17,86.9,0.079,134.7,33.24
1727,10.48,87,0.079,169.2,35.2
1728,11.13,83.5,0.08,194,36.92
1597,11.68,81.7,0.08,218.3,39.07
1598,12.22,78,0.075,246.6,40.01
1599,12.61,74.8,0.076,270.6,40.59
1600,13.07,72.7,0.075,288.3,42.31
1601,13.61,70.2,0.077,309.8,43.74
1602,14,69.22,0.077,337.2,43.39
1603,14.55,64.11,0.077,360.7,41.43
1604,14.94,58.46,0.077,381.4,41.13
1605,15.08,57.23,0.076,396.6,40.66
1606,15.18,55.83,0.076,410.8,41.23
1607,15.28,56.49,0.075,425.6,41.84
1608,15.27,55.93,0.076,440.2,41.83
1609,15.21,55.69,0.077,452.5,41.73
1610,15.18,57.2,0.078,460.5,42.38
1611,15.11,57.86,0.074,469.9,43.43
1612,15.1,58.33,0.076,476.2,43.25
1613,15.26,58.8,0.076,482.3,44.1
1614,15.15,60.87,0.075,485.1,44.53
1615,15.23,60.53,0.076,487.1,44.09
1616,15.22,60.2,0.077,487.6,44.43
1617,15.22,59.83,0.076,486.9,44.29
1618,15.33,59.16,0.076,484.1,43.72
1619,15.41,58.13,0.076,481.1,43.82
1620,15.43,58,0.077,477.2,43.68
1621,15.56,56.03,0.075,470.9,42.8
1622,15.59,55.73,0.075,463.4,42.58
1623,15.47,56.29,0.077,451.8,42.83
1624,15.55,55.99,0.074,441.9,41.88
1625,15.57,56.53,0.076,427.9,42.14
1626,15.64,55.35,0.077,413.9,41.5
1627,15.59,55.76,0.077,399.4,40.61
1628,15.58,57.03,0.077,381.1,42.48
1629,15.49,57.19,0.075,364.3,45.96
1630,15.45,57.86,0.075,345.8,57.35
1631,15.36,57.72,0.075,324.6,79.5
1632,15.38,58.02,0.074,302.9,121.3
1633,15.37,58.59,0.077,280.3,184
1634,15.23,59.76,0.077,260.6,238
1635,15.23,61.12,0.075,238.2,253.4
1636,15.24,61.63,0.075,216.8,248.1
1637,15.19,61.72,0.075,192,227.3
1638,15.17,61.76,0.077,165.5,200.6
1639,15.22,59.95,0.076,142.6,175
1640,15.17,61.92,0.076,119.9,148.2
1641,15.02,62.32,0.076,98.7,123.7
1642,14.9,61.82,0.079,77.5,98.6
1643,14.81,61.79,0.078,58.1,75.3
1644,14.68,62.05,0.079,22.4,25.24
1645,14.54,64.02,0.074,11.04,11.2
1646,14.38,64.55,0.077,6.504,6.524
1647,14.23,65.55,0.076,3.071,3.089
1648,14.11,65.79,0.081,0.933,0.946
1649,14.03,66.72,0.074,0.143,0.189
1650,13.95,67.52,0.074,0.037,0.119
1651,13.87,68.59,0.075,0.066,0.1
1652,13.74,69.46,0.074,0.081,0.093
1653,13.55,69.9,0.076,0.029,0.104
1654,13.43,69.86,0.076,0.04,0.108
1655,13.35,69.86,0.076,0.073,0.078
1656,13.2,70.5,0.076,0.055,0.122
1663,13.42,68.89,0.073,0.055,0.096
1664,13.55,68.12,0.077,0.055,0.074
1665,13.42,68.52,0.075,0.055,0.093
1666,13.3,69.03,0.075,0.055,0.093
1667,13.33,68.72,0.076,0.066,0.108
1668,13.45,68.59,0.075,0.066,0.122
1669,13.47,66.99,0.074,0.048,0.078
1670,13.29,66.99,0.075,0.051,0.067
1671,13.15,66.42,0.078,0.055,0.093
1672,13.03,66.62,0.074,0.07,0.085
1673,12.93,67.29,0.076,0.07,0.111
1674,12.88,67.46,0.075,0.051,0.119
1675,12.86,67.76,0.074,0.084,0.093
1676,12.87,67.96,0.075,0.066,0.134
1677,12.92,68.52,0.074,0.037,0.148
1678,12.96,68.62,0.075,0.102,0.063
1679,12.88,69.33,0.075,0.062,0.152
1680,12.77,69.86,0.075,0.11,0.1
1681,12.82,70.1,0.075,0.077,0.1
1682,12.75,70.4,0.071,0.051,0.152
1683,12.54,71.5,0.077,0.051,0.1
1684,12.23,72.9,0.077,0.059,0.111
1685,12.19,72.8,0.077,0.07,0.122
1686,12.31,72.6,0.072,0.044,0.152
3169,12.08,74,0.076,0.117,0.093
3170,12.16,74,0.072,0.07,0.141
3171,12.07,74.1,0.074,0.102,0.119
3172,11.48,76.8,0.077,0.07,0.145
3173,11.45,77.7,0.074,0.073,0.115
3174,11.8,76.6,0.076,0.018,0.23
3175,12.23,75.1,0.074,0.062,0.145
3176,12.39,71,0.078,0.062,0.148
3177,12.42,71.4,0.077,0.059,0.159
3178,12.4,71.5,0.075,0.062,0.156
3179,11.84,73.4,0.079,0.073,0.152
3180,11.51,73,0.076,0.044,0.148
3241,11.35,73.6,0.081,0.095,0.134
3242,11.27,73.8,0.077,0.055,0.159
3243,11.33,74.5,0.073,0.044,0.13
3244,11.44,75,0.078,0.081,0.119
3245,12.26,75.5,0.076,0.073,0.163
3246,13.08,70.9,0.076,0.062,0.174
3271,12.78,71.8,0.078,0.055,0.156
3272,12.34,73.2,0.076,0.088,0.152
3273,12.2,73.8,0.072,0.084,0.178
3274,12.04,74.7,0.077,0.077,0.134
3275,11.96,74.9,0.077,0.07,0.137
3276,11.92,75.2,0.077,0.059,0.182
3277,11.85,75.1,0.083,0.077,0.156
3278,11.66,75.5,0.084,0.07,0.156
3279,11.55,76.1,0.077,0.055,0.156
3280,11.6,75.1,0.081,0.073,0.137
3281,11.17,77.8,0.076,0.077,0.148
3282,10.83,78.5,0.076,0.066,0.148
3283,10.74,78.6,0.077,0.048,0.189
3284,10.57,80.3,0.081,0.04,0.152
3285,10.49,80.3,0.08,0.084,0.141
3286,10.69,81.6,0.078,0.073,0.074
3287,11.22,80,0.076,0.077,0.171
3288,11.36,77.9,0.077,0.062,0.174
3289,11.44,77.5,0.079,0.102,0.122
3290,11.49,76.7,0.073,0.084,0.159
3291,11.33,76.8,0.075,0.062,0.145
3292,11.16,77.3,0.082,0.048,0.163
3293,10.89,77.5,0.082,0.099,0.111
3294,10.27,80.2,0.078,0.077,0.148
3295,10.15,80.8,0.08,0.055,0.193
3296,10,81.6,0.077,0.062,0.145
3297,9.9,81.5,0.076,0.048,0.171
3298,9.67,81.6,0.08,0.084,0.145
3299,9.27,81.5,0.08,0.059,0.167
3300,9.03,81.8,0.079,0.07,0.122
3301,8.85,82.7,0.082,0.146,0.223
3302,8.68,83.1,0.083,0.834,0.849
3303,8.54,83.7,0.078,2.88,2.815
3304,8.38,84.9,0.081,6.306,6.119
3305,8.5,84.9,0.079,12.91,11.68
3306,8.48,85.7,0.082,38,20.54
3307,8.4,85.3,0.082,64.8,27.42
3308,8.51,85.5,0.083,85.3,33.31
3309,8.8,85,0.084,109.4,38.03
3310,9.09,84.1,0.081,135.3,40
3311,9.62,84.5,0.082,161.3,41.16
3312,10.89,85.9,0.085,191.6,40.65
3181,12.43,83.3,0.079,220.3,41.27
3182,13.02,77.5,0.084,245.9,42.92
3183,13.38,74.4,0.078,269.7,43.12
3184,13.64,73.2,0.079,294.9,43.18
3185,13.88,72.2,0.084,319,43.25
3186,14.16,72.3,0.081,339.3,43.08
3187,14.54,69.24,0.084,361.2,43.97
3188,14.75,67.1,0.078,380.3,44.96
3189,14.87,66.57,0.08,397.2,45.17
3190,15,65.1,0.083,413.4,44.82
3191,15.08,64.4,0.079,428.2,44.18
3192,15.18,64.23,0.077,440.5,45.02
3193,15.28,64.43,0.074,452.5,44.71
3194,15.19,63.6,0.074,462.8,45.04
3195,15.18,64.77,0.075,470.7,44.71
3196,15.21,65.33,0.076,478,45.15
3197,15.31,64.2,0.074,484,44.76
3198,15.35,63.13,0.073,488.8,44.76
3199,15.43,62.93,0.073,492.7,44.55
3200,15.39,62.9,0.074,493.3,44.78
3201,15.41,62.83,0.074,491.9,44.84
3202,15.57,62.7,0.077,490.1,44.76
3203,15.37,63.4,0.076,487.1,44.94
3204,15.49,63.46,0.075,480.4,45.25
3205,15.57,63.7,0.073,472.9,45.01
3206,15.48,63.76,0.075,465.8,44.23
3207,15.36,64.16,0.073,455.2,44.07
3208,15.35,64.19,0.074,443.9,43.33
3209,15.41,64.1,0.074,430.9,43.09
3210,15.36,65.23,0.075,415.4,43.03
3211,15.44,64.86,0.075,401.3,43.02
3212,15.48,64.1,0.075,385.4,45.37
3213,15.45,64.86,0.076,366.1,53.46
3214,15.44,64.93,0.074,348.4,72.7
3215,15.34,65.3,0.075,328.3,104.5
3216,15.3,65.83,0.075,306.7,155.7
3217,15.34,66.4,0.075,283.3,215.7
3218,15.34,66.83,0.071,259.9,256.6
3219,15.23,67.66,0.076,234.7,257.7
3220,15.18,67.73,0.075,208.8,240.7
3221,15.09,67.66,0.076,184.9,218.7
3222,14.96,66.19,0.077,160.4,193.2
3223,14.94,64.99,0.075,131.7,166.5
3224,14.89,65.45,0.073,115.7,142.4
3225,14.85,65.55,0.077,97.1,121.2
3226,14.78,65.82,0.075,77.8,98.6
3227,14.68,67.22,0.073,58.28,75.3
3228,14.51,68.26,0.077,26.56,31.14
3229,14.32,69.56,0.075,11.76,11.93
3230,14.14,70.9,0.076,6.804,6.887
3231,13.98,72.1,0.076,3.327,3.349
3232,13.86,73,0.074,1.014,1.087
3233,13.45,73.7,0.075,0.209,0.189
3234,12.2,77.3,0.076,0.059,0.115
3235,11.85,78.2,0.074,0.066,0.111
3236,11.53,79,0.078,0.073,0.093
3237,11.25,80,0.075,0.059,0.111
3238,11.12,80.5,0.074,0.073,0.115
3239,10.92,81.2,0.076,0.051,0.085
3240,10.93,81.3,0.079,0.059,0.074
3247,10.69,81.5,0.077,0.055,0.093
3248,10.39,81.5,0.078,0.088,0.089
3249,10.17,83.1,0.074,0.084,0.067
3250,10.03,82.9,0.075,0.081,0.1
3251,9.61,83.9,0.076,0.066,0.108
3252,9.71,84.2,0.075,0.062,0.096
3253,9.62,83.4,0.074,0.055,0.082
3254,9.49,83.5,0.073,0.037,0.111
3255,9.33,83.7,0.076,0.066,0.067
3256,9.23,83.9,0.074,0.059,0.1
3257,9.14,84,0.073,0.055,0.085
3258,9.11,83.8,0.073,0.081,0.078
3259,9.07,83.8,0.073,0.073,0.089
3260,9,83.9,0.072,0.051,0.108
3261,9.05,84,0.072,0.062,0.093
3262,8.98,83.6,0.073,0.062,0.059
3263,8.81,83.9,0.075,0.051,0.104
3264,8.72,84,0.076,0.062,0.115
3265,8.51,84.3,0.075,0.062,0.104
3266,8.52,85,0.075,0.073,0.078
3267,8.6,84.4,0.074,0.048,0.104
3268,8.49,84.5,0.077,0.04,0.159
3269,8.33,84.7,0.076,0.059,0.059
3270,8.5,84.7,0.073,0.077,0.059
3601,8.52,83.7,0.077,0.062,0.104
3602,8.63,83.5,0.073,0.044,0.111
3603,8.69,82.8,0.076,0.044,0.126
3604,8.77,82.3,0.075,0.055,0.082
3605,8.36,82,0.078,0.055,0.108
3606,8.17,82.7,0.075,0.062,0.111
3607,8.13,82.4,0.074,0.037,0.1
3608,8.14,82.3,0.074,0.073,0.093
3609,8.15,82.2,0.076,0.077,0.074
3610,8.33,82.2,0.075,0.062,0.082
3611,8.36,81.4,0.076,0.073,0.093
3612,8.23,80.7,0.076,0.059,0.089
3673,8.13,81.2,0.075,0.059,0.119
3674,8.04,81.2,0.075,0.066,0.115
3675,7.87,81.8,0.074,0.073,0.119
3676,7.91,81.8,0.078,0.07,0.111
3677,7.9,81.8,0.077,0.077,0.1
3678,7.88,81.6,0.077,0.077,0.13
3703,7.89,81.2,0.074,0.066,0.07
3704,7.94,81.2,0.074,0.062,0.13
3705,7.84,80.5,0.073,0.059,0.134
3706,7.59,80.4,0.076,0.07,0.115
3707,7.44,81.1,0.076,0.062,0.126
3708,7.59,81,0.082,0.044,0.111
3709,7.46,81.3,0.091,0.084,0.122
3710,6.991,82.5,0.086,0.084,0.108
3711,6.683,83.5,0.086,0.04,0.082
3712,6.447,84.1,0.087,0.062,0.108
3713,6.091,84.9,0.083,0.055,0.085
3714,5.88,85.9,0.083,0.055,0.111
3715,6.003,86.3,0.085,0.062,0.1
3716,5.904,86.7,0.085,0.062,0.119
3717,6.042,86.7,0.087,0.062,0.148
3718,5.976,86.8,0.085,0.077,0.119
3719,5.965,86.9,0.084,0.062,0.104
3720,6.025,87.1,0.085,0.081,0.137
3721,5.946,86.9,0.084,0.07,0.122
3722,5.795,86.9,0.086,0.07,0.085
3723,5.488,87.1,0.087,0.029,0.134
3724,5.352,87.1,0.083,0.051,0.148
3725,5.076,87.7,0.082,0.066,0.122
3726,5.291,88.3,0.09,0.033,0.13
3727,5.364,87.7,0.087,0.051,0.122
3728,5.393,87.8,0.087,0.048,0.111
3729,5.524,87.7,0.088,0.051,0.145
3730,5.576,87.4,0.091,0.07,0.137
3731,5.421,86.9,0.09,0.07,0.122
3732,5.336,86.7,0.089,0.11,0.119
3733,5.139,86.9,0.085,0.146,0.226
3734,5.01,87.2,0.09,0.878,0.816
3735,5.099,87.4,0.084,2.906,2.804
3736,4.917,87.5,0.09,6.456,6.283
3737,4.779,87.7,0.086,13.9,12.28
3738,4.873,87.8,0.089,47.75,22.59
3739,4.872,87.2,0.088,70.5,26.46
3740,5.009,86.9,0.084,92.6,31.27
3741,5.065,86.6,0.088,118,34.1
3742,5.218,86.3,0.089,145.1,34.58
3743,5.54,85.9,0.088,170.9,36.58
3744,5.738,84.7,0.089,196.1,37.53
3613,6,84.1,0.091,220.3,39.42
3614,6.271,83,0.09,248.3,39.09
3615,6.593,81.6,0.09,272.8,39.92
3616,6.933,81.2,0.09,297.3,40.57
3617,7.22,81.2,0.091,320.5,40.4
3618,7.54,81,0.091,343.3,39.4
3619,8.01,79.8,0.088,354.4,40.51
3620,8.57,79,0.088,384.7,40.3
3621,9.04,78.5,0.09,402.8,39.82
3622,9.6,77.3,0.09,420.1,39.15
3623,10.14,75.6,0.094,436.2,38.96
3624,10.8,73.5,0.089,451.6,37.73
3625,11.47,70.1,0.085,466.4,37.49
3626,12,67.75,0.086,477,37.37
3627,12.6,66.24,0.088,485.7,36.72
3628,13.19,65.44,0.086,492.7,36.75
3629,13.66,65.01,0.087,499.7,37.17
3630,13.92,63.81,0.086,503.9,37.24
3631,14.41,63.77,0.084,505.9,36.35
3632,14.86,61.6,0.087,508.4,36.78
3633,15.34,60.2,0.085,506.6,37.02
3634,16.13,58.43,0.085,503.5,38.74
3635,16.38,55.89,0.084,501,42.75
3636,17.05,55.46,0.087,486.7,45.15
3637,17.65,53.72,0.084,485.9,38.87
3638,17.55,50.78,0.082,468.6,43.49
3639,17.43,50.65,0.076,458.1,45.03
3640,17.4,53.26,0.077,448.2,46.62
3641,17.42,53.72,0.077,430.7,47.2
3642,17.49,56.59,0.077,418.2,45.45
3643,17.33,57.36,0.075,409.7,44.91
3644,17.23,59.17,0.075,391.1,50.26
3645,17.4,59.07,0.077,373.1,66.11
3646,17.38,59.6,0.077,354.9,96.9
3647,17.24,60.4,0.073,335.5,141.6
3648,17.07,61.2,0.073,314.5,199.9
3649,17.09,61.8,0.074,291,254.4
3650,17.3,61.47,0.075,266.4,281.1
3651,17.26,61.17,0.075,229.8,260.8
3652,17.36,61.04,0.077,211.4,249.6
3653,17.6,60.67,0.081,189.1,227.1
3654,17.57,59.83,0.077,160.3,195.4
3655,17.57,60.33,0.076,134.8,165.7
3656,17.24,61.83,0.074,112,138.9
3657,16.89,63.5,0.075,88,109.5
3658,16.35,66.23,0.073,71.1,89.7
3659,15.84,67.87,0.074,52.73,67.32
3660,15.44,69.54,0.073,27.54,32.7
3661,14.98,71.1,0.077,11.43,11.56
3662,14.57,72.3,0.079,7.03,7.05
3663,14.13,73.2,0.081,3.532,3.546
3664,13.22,75.6,0.083,1.142,1.22
3665,12.87,76.7,0.073,0.179,0.282
3666,12.43,77.4,0.073,0.106,0.089
3667,12.21,77.6,0.069,0.051,0.104
3668,12.06,78.1,0.075,0.044,0.093
3669,12.26,79.8,0.087,0.113,0.085
3670,13.39,79.2,0.086,0.106,0.078
3671,13.83,71.8,0.088,0.051,0.093
3672,13.83,67.63,0.09,0.07,0.067
3679,13.8,66.7,0.086,0.095,0.082
3680,13.72,66.66,0.088,0.077,0.108
3681,13.55,67.73,0.089,0.066,0.093
3682,13.44,68.2,0.083,0.04,0.104
3683,13.32,68.83,0.087,0.044,0.093
3684,13.1,69.16,0.084,0.07,0.056
3685,12.82,69.5,0.086,0.044,0.122
3686,12.49,70.5,0.081,0.113,0.074
3687,12.28,70.8,0.083,0.033,0.13
3688,12.09,71.3,0.083,0.051,0.096
3689,11.9,71.1,0.088,0.044,0.089
3690,11.36,72.2,0.083,0.07,0.119
3691,10.96,73.9,0.084,0.077,0.148
3692,10.58,75.5,0.086,0.062,0.07
3693,10.44,76.3,0.082,0.073,0.074
3694,10.59,76.3,0.08,0.066,0.13
3695,10.66,75.7,0.087,0.088,0.115
3696,10.57,75.9,0.085,0.07,0.122
3697,10.4,76.1,0.085,0.073,0.13
3698,10.27,75.9,0.085,0.095,0.137
3699,9.89,77.6,0.083,0.051,0.126
3700,9.64,77.9,0.083,0.051,0.096
3701,9.64,77.7,0.084,0.055,0.126
3702,9.46,78,0.086,0.081,0.141
3745,9,79.7,0.085,0.048,0.119
3746,8.81,80.4,0.089,0.037,0.096
3747,9.04,80.1,0.087,0.07,0.141
3748,9.21,78.5,0.084,0.088,0.134
3749,9.03,77.4,0.086,0.077,0.074
3750,8.9,77.8,0.083,0.051,0.148
3751,8.39,80.1,0.084,0.091,0.108
3752,8.45,80.1,0.085,0.059,0.115
3753,8.54,78.6,0.085,0.106,0.111
3754,8.26,79.9,0.087,0.07,0.145
3755,8.04,80.4,0.087,0.059,0.126
3756,7.85,81.7,0.086,0.099,0.115
3817,7.78,81.5,0.087,0.077,0.111
3818,7.76,80.9,0.083,0.091,0.115
3819,7.72,81.3,0.088,0.088,0.126
3820,7.9,80.9,0.087,0.066,0.13
3821,7.87,80,0.081,0.062,0.159
3822,7.73,80.4,0.086,0.084,0.159
3847,7.53,81.3,0.084,0.077,0.145
3848,7.52,81,0.084,0.07,0.204
3849,7.53,80.7,0.082,0.066,0.163
3850,7.68,79.2,0.081,0.088,0.104
3851,7.57,78.1,0.083,0.066,0.141
3852,7.44,77,0.083,0.051,0.148
3853,7.27,77.4,0.08,0.066,0.152
3854,7.16,78.4,0.087,0.081,0.122
3855,6.985,79.5,0.087,0.081,0.152
3856,6.902,79.6,0.088,0.084,0.108
3857,6.898,79.4,0.085,0.066,0.111
3858,6.982,77.8,0.086,0.059,0.111
3859,6.998,77.3,0.083,0.077,0.148
3860,7.31,76.7,0.083,0.07,0.137
3861,7.36,75.1,0.086,0.07,0.141
3862,7.03,76,0.083,0.04,0.141
3863,6.8,78,0.085,0.055,0.167
3864,6.922,76.7,0.085,0.077,0.119
3865,6.923,72.5,0.087,0.062,0.1
3866,7.05,71.9,0.085,0.084,0.115
3867,7.02,72.9,0.084,0.066,0.134
3868,7.1,73.4,0.086,0.051,0.134
3869,6.894,73.7,0.083,0.081,0.093
3870,6.438,79.3,0.085,0.051,0.119
